id,category,title,description,created_at,updated_at,deleted_at
ABS01,perusahaan,Tentang siapa kami,RecyThing adalah pemimpin di industri daur ulang sampah yang berkomitmen untuk menjaga lingkungan hidup yang lebih bersih dan lebih berkelanjutan.,2024-06-07 17:08:07.031,2024-06-07 17:08:07.031,
ABS02,perusahaan,Visi Kami,Menciptakan masyarakat yang sadar lingkungan di mana setiap individu berperan aktif dalam melestarikan bumi kita.,2024-06-07 17:08:07.035,2024-06-07 17:08:07.035,
ABS03,perusahaan,Komitmen Kami,Prioritaskan penggunaan teknologi terbaru dan praktik terbaik dalam proses daur ulang untuk mengurangi dampak lingkungan.,2024-06-07 17:08:07.039,2024-06-07 17:08:07.039,
ABS04,perusahaan,Pelayanan Pelanggan Unggul,Tim ahli yang berpengalaman memberikan solusi tepat dan responsif sesuai dengan kebutuhan klien.,2024-06-07 17:08:07.043,2024-06-07 17:08:07.043,
ABS05,perusahaan,Pendidikan Masyarakat,Berperan aktif dalam mendidik masyarakat tentang pentingnya daur ulang dan pengelolaan limbah yang berkelanjutan.,2024-06-07 17:08:07.049,2024-06-07 17:08:07.049,
ABS06,tim,Tim Manajemen,Lorem ipsum dolor sit amet consectetur. Faucibus ultricies neque pellentesque tempus eros nulla ultrices laoreet. Posuere placerat cras fames egestas. Turpis odio molestie nec viverra nam justo risus. Suspendisse eget id hac diam faucibus adipiscing.,2024-06-07 17:08:07.053,2024-06-07 17:08:07.053,
ABS07,tim,Tim Manajemen,Lorem ipsum dolor sit amet consectetur. Faucibus ultricies neque pellentesque tempus eros nulla ultrices laoreet. Posuere placerat cras fames egestas. Turpis odio molestie nec viverra nam justo risus. Suspendisse eget id hac diam faucibus adipiscing.,2024-06-07 17:08:07.057,2024-06-07 17:08:07.057,
ABS08,tim,Tim Manajemen,Lorem ipsum dolor sit amet consectetur. Faucibus ultricies neque pellentesque tempus eros nulla ultrices laoreet. Posuere placerat cras fames egestas. Turpis odio molestie nec viverra nam justo risus. Suspendisse eget id hac diam faucibus adipiscing.,2024-06-07 17:08:07.061,2024-06-07 17:08:07.061,
ABS09,tim,Tim Manajemen,Lorem ipsum dolor sit amet consectetur. Faucibus ultricies neque pellentesque tempus eros nulla ultrices laoreet. Posuere placerat cras fames egestas. Turpis odio molestie nec viverra nam justo risus. Suspendisse eget id hac diam faucibus adipiscing.,2024-06-07 17:08:07.065,2024-06-07 17:08:07.065,
ABS10,contact_us,Hubungi Kami,"Jika Anda memiliki pertanyaan, masukan, atau ingin bermitra dengan kami, jangan ragu untuk menghubungi tim kami. Kami siap membantu Anda dengan segala kebutuhan terkait daur ulang dan pengelolaan limbah.",2024-06-07 17:08:07.070,2024-06-07 17:08:07.070,
ABS11,contact_us,Alamat Kantor,"Recything
Jalan Mangga Dua
Jakarta Pusat, 20012
Indonesia",2024-06-07 17:08:07.073,2024-06-07 17:08:07.073,
ABS12,contact_us,Jam Operasional,Senin-Jumat: 08.00 - 17.00 WIB,2024-06-07 17:08:07.081,2024-06-07 17:08:07.081,
ABS13,contact_us,Telepon,+6289511223344,2024-06-07 17:08:07.085,2024-06-07 17:08:07.085,
ABS14,contact_us,Social Media,"Facebook: https://facebook.com/recything
Twitter: https://x.com/recything
Instagram: https://instagram.com/recything
Linkedin: https://linkedin.com/recything",2024-06-07 17:08:07.090,2024-06-07 17:08:07.090,
