id,about_us_id,image_url,created_at,updated_at,deleted_at
ABSI01,ABS01,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/kan9fdnp7h6o4hfclghm.png,2024-06-07 17:08:07.095,2024-06-07 17:08:07.095,
ABSI02,ABS05,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758301/recything/about-us/spgrokvm9un0yq5zsycn.png,2024-06-07 17:08:07.099,2024-06-07 17:08:07.099,
ABSI03,ABS05,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758301/recything/about-us/tynymzulgmkwiqu4a7mb.png,2024-06-07 17:08:07.105,2024-06-07 17:08:07.105,
ABSI04,ABS06,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/qwck5a9jwqht6rdjmxwd.png,2024-06-07 17:08:07.109,2024-06-07 17:08:07.109,
ABSI05,ABS06,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/qwck5a9jwqht6rdjmxwd.png,2024-06-07 17:08:07.113,2024-06-07 17:08:07.113,
ABSI06,ABS06,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/qwck5a9jwqht6rdjmxwd.png,2024-06-07 17:08:07.117,2024-06-07 17:08:07.117,
ABSI07,ABS07,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/qwck5a9jwqht6rdjmxwd.png,2024-06-07 17:08:07.121,2024-06-07 17:08:07.121,
ABSI08,ABS07,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/qwck5a9jwqht6rdjmxwd.png,2024-06-07 17:08:07.126,2024-06-07 17:08:07.126,
ABSI09,ABS07,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/qwck5a9jwqht6rdjmxwd.png,2024-06-07 17:08:07.130,2024-06-07 17:08:07.130,
ABSI10,ABS08,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/qwck5a9jwqht6rdjmxwd.png,2024-06-07 17:08:07.134,2024-06-07 17:08:07.134,
ABSI11,ABS08,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/qwck5a9jwqht6rdjmxwd.png,2024-06-07 17:08:07.140,2024-06-07 17:08:07.140,
ABSI12,ABS08,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/qwck5a9jwqht6rdjmxwd.png,2024-06-07 17:08:07.145,2024-06-07 17:08:07.145,
ABSI13,ABS09,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/qwck5a9jwqht6rdjmxwd.png,2024-06-07 17:08:07.148,2024-06-07 17:08:07.148,
ABSI14,ABS09,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/qwck5a9jwqht6rdjmxwd.png,2024-06-07 17:08:07.153,2024-06-07 17:08:07.153,
ABSI15,ABS09,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/qwck5a9jwqht6rdjmxwd.png,2024-06-07 17:08:07.157,2024-06-07 17:08:07.157,
ABSI16,ABS10,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/mfi5xij2xssmztqwaybz.png,2024-06-07 17:08:07.161,2024-06-07 17:08:07.161,
