id,article_id,waste_category_id,content_category_id,created_at,updated_at,deleted_at
1,ART0001,5,4,2024-06-11 15:07:04.000,2024-06-15 13:03:36.447,
2,ART0001,11,2,2024-01-31 09:42:00.000,2024-06-15 13:03:36.452,
3,ART0001,3,2,2024-01-17 01:43:07.000,2024-06-15 13:03:36.457,
4,ART0002,11,4,2024-06-07 20:06:57.000,2024-06-15 13:03:36.461,
5,ART0002,6,4,2024-05-17 14:38:11.000,2024-06-15 13:03:36.465,
6,ART0002,9,5,2024-05-07 06:35:33.000,2024-06-15 13:03:36.470,
7,ART0003,10,5,2024-06-30 22:09:53.000,2024-06-15 13:03:36.473,
8,ART0003,3,3,2024-05-27 02:47:53.000,2024-06-15 13:03:36.478,
9,ART0003,10,2,2024-01-02 01:33:10.000,2024-06-15 13:03:36.482,
10,ART0004,7,2,2024-05-13 12:15:33.000,2024-06-15 13:03:36.486,
11,ART0004,11,5,2024-06-13 08:10:18.000,2024-06-15 13:03:36.490,
12,ART0004,13,3,2024-06-22 05:55:12.000,2024-06-15 13:03:36.494,
13,ART0005,5,5,2024-05-29 16:35:04.000,2024-06-15 13:03:36.498,
14,ART0005,10,5,2024-05-21 18:54:14.000,2024-06-15 13:03:36.503,
15,ART0005,6,2,2024-01-22 20:13:32.000,2024-06-15 13:03:36.507,
16,ART0006,9,4,2024-05-11 10:02:59.000,2024-06-15 13:03:36.510,
17,ART0006,4,5,2024-06-20 07:57:04.000,2024-06-15 13:03:36.518,
18,ART0006,7,2,2024-03-25 06:52:56.000,2024-06-15 13:03:36.522,
19,ART0007,3,3,2024-02-10 01:59:36.000,2024-06-15 13:03:36.526,
20,ART0008,7,4,2024-02-07 10:48:39.000,2024-06-15 13:03:36.530,
21,ART0009,4,5,2024-01-25 00:20:46.000,2024-06-15 13:03:36.534,
22,ART0009,10,4,2024-03-26 14:10:07.000,2024-06-15 13:03:36.538,
23,ART0009,9,1,2024-05-20 03:58:22.000,2024-06-15 13:03:36.543,
24,ART0010,6,5,2024-01-18 00:43:30.000,2024-06-15 13:03:36.546,
25,ART0010,10,1,2024-05-19 00:47:06.000,2024-06-15 13:03:36.551,
26,ART0011,2,3,2024-02-04 13:48:50.000,2024-06-15 13:03:36.555,
27,ART0011,6,4,2024-01-25 17:21:00.000,2024-06-15 13:03:36.559,
28,ART0012,4,4,2024-01-08 04:57:48.000,2024-06-15 13:03:36.562,
29,ART0012,12,4,2024-03-15 19:22:06.000,2024-06-15 13:03:36.567,
30,ART0012,1,2,2024-02-29 10:19:26.000,2024-06-15 13:03:36.571,
31,ART0013,9,2,2024-03-22 21:21:17.000,2024-06-15 13:03:36.575,
32,ART0013,11,2,2024-05-16 02:01:04.000,2024-06-15 13:03:36.580,
33,ART0013,8,2,2024-02-21 01:55:54.000,2024-06-15 13:03:36.583,
34,ART0014,6,2,2024-01-26 15:34:14.000,2024-06-15 13:03:36.588,
35,ART0014,3,2,2024-05-21 06:03:09.000,2024-06-15 13:03:36.592,
36,ART0015,4,5,2024-04-12 15:02:11.000,2024-06-15 13:03:36.596,
37,ART0016,8,5,2024-03-19 05:44:51.000,2024-06-15 13:03:36.600,
38,ART0017,9,2,2024-06-12 21:13:45.000,2024-06-15 13:03:36.604,
39,ART0017,10,5,2024-04-08 17:19:19.000,2024-06-15 13:03:36.608,
40,ART0018,4,3,2024-06-27 08:43:06.000,2024-06-15 13:03:36.612,
41,ART0019,11,5,2024-03-22 18:20:03.000,2024-06-15 13:03:36.617,
42,ART0020,10,4,2024-02-20 12:27:28.000,2024-06-15 13:03:36.621,
43,ART0021,10,2,2024-02-05 05:29:57.000,2024-06-15 13:03:36.625,
44,ART0022,11,1,2024-01-19 02:30:34.000,2024-06-15 13:03:36.628,
45,ART0023,7,2,2024-03-11 06:11:49.000,2024-06-15 13:03:36.632,
