id,user_id,article_id,comment,created_at,updated_at,deleted_at
1,USR0006,ART0001,Envious condemned Nepalese the utterly.,2024-05-06 04:22:34.671,2024-06-18 12:11:19.659,
2,USR0013,ART0001,Would election way Dutch none.,2024-04-18 03:05:16.006,2024-06-18 12:11:19.662,
3,USR0015,ART0001,Down little without myself time.,2024-03-16 12:50:49.073,2024-06-18 12:11:19.669,
4,USR0042,ART0001,Myself troupe ouch work therefore.,2024-05-07 16:54:50.618,2024-06-18 12:11:19.673,
5,USR0019,ART0001,Is this sunshine as any.,2024-03-09 23:30:22.960,2024-06-18 12:11:19.677,
6,USR0047,ART0001,Why though from time elsewhere.,2024-01-29 08:06:47.192,2024-06-18 12:11:19.685,
7,USR0024,ART0001,Daringly himself my wow whichever.,2024-02-23 02:57:19.706,2024-06-18 12:11:19.689,
8,USR0023,ART0001,Lemon instance cashier sugar several.,2024-02-17 22:05:44.996,2024-06-18 12:11:19.693,
9,USR0004,ART0001,Whose comfort at finally daily.,2024-02-18 01:26:22.668,2024-06-18 12:11:19.697,
10,USR0003,ART0001,Album our his daily dentist.,2024-02-13 16:18:35.688,2024-06-18 12:11:19.701,
11,USR0007,ART0001,Accidentally when stemmed discover moreover.,2024-02-01 06:15:32.642,2024-06-18 12:11:19.706,
12,USR0028,ART0001,Everybody couple on generally most.,2024-05-12 13:34:56.563,2024-06-18 12:11:19.710,
13,USR0016,ART0001,Cast in hotel time furthermore.,2024-03-18 13:33:15.425,2024-06-18 12:11:19.714,
14,USR0014,ART0001,Yours as today as troop.,2024-02-28 01:34:51.569,2024-06-18 12:11:19.720,
15,USR0038,ART0001,Most we in us your.,2024-01-12 20:38:00.430,2024-06-18 12:11:19.724,
16,USR0018,ART0001,Anywhere play fact him nearby.,2024-01-04 10:07:22.769,2024-06-18 12:11:19.729,
17,USR0044,ART0001,Work moreover for advertising even.,2024-05-29 03:33:43.471,2024-06-18 12:11:19.733,
18,USR0035,ART0001,Bravely inside mustering this yesterday.,2024-04-26 12:06:27.477,2024-06-18 12:11:19.737,
19,USR0008,ART0001,On Senegalese which ahead some.,2024-04-11 00:11:30.349,2024-06-18 12:11:19.740,
20,USR0007,ART0001,None whomever mistake oops my.,2024-02-17 02:28:07.583,2024-06-18 12:11:19.745,
21,USR0008,ART0001,Smell outfit normally host punch.,2024-04-13 09:04:20.924,2024-06-18 12:11:19.749,
22,USR0013,ART0001,Suspiciously it annually my yet.,2024-06-09 06:45:59.125,2024-06-18 12:11:19.753,
23,USR0009,ART0001,Romanian cry sprint under now.,2024-05-27 07:41:49.577,2024-06-18 12:11:19.757,
24,USR0048,ART0001,For between spite beautiful whom.,2024-06-13 05:54:54.794,2024-06-18 12:11:19.761,
25,USR0047,ART0001,Besides nightly none monthly explode.,2024-04-19 23:18:56.522,2024-06-18 12:11:19.765,
26,USR0007,ART0001,These air few perfectly little.,2024-02-01 02:56:48.882,2024-06-18 12:11:19.769,
27,USR0032,ART0001,Say for enormously Lebanese seldom.,2024-01-20 01:11:49.283,2024-06-18 12:11:19.774,
28,USR0043,ART0001,Pounce frequently despite who however.,2024-03-18 15:55:05.939,2024-06-18 12:11:19.778,
29,USR0016,ART0001,Mob without has these several.,2024-03-05 04:06:37.633,2024-06-18 12:11:19.782,
30,USR0050,ART0001,Float everyone posse week this.,2024-05-08 02:08:39.880,2024-06-18 12:11:19.787,
31,USR0019,ART0002,That once staff throw finally.,2024-05-16 13:26:48.550,2024-06-18 12:11:19.792,
32,USR0030,ART0002,Us alone never weekly additionally.,2024-04-04 18:39:28.689,2024-06-18 12:11:19.796,
33,USR0035,ART0002,Which yours whole couple warmly.,2024-01-29 14:54:00.051,2024-06-18 12:11:19.801,
34,USR0025,ART0002,Omen now you stress now.,2024-03-22 07:31:30.903,2024-06-18 12:11:19.805,
35,USR0048,ART0002,In enormously your how on.,2024-03-12 20:01:03.564,2024-06-18 12:11:19.810,
36,USR0039,ART0002,Grandfather Diabolical fast with stand.,2024-01-23 13:51:59.192,2024-06-18 12:11:19.814,
37,USR0029,ART0002,Group there who before yesterday.,2024-05-08 06:13:32.984,2024-06-18 12:11:19.818,
38,USR0034,ART0002,Game we bend any hourly.,2024-01-24 04:40:09.425,2024-06-18 12:11:19.822,
39,USR0008,ART0002,Someone until other when well.,2024-01-19 11:49:47.521,2024-06-18 12:11:19.826,
40,USR0029,ART0002,Must from case nightly that.,2024-05-05 21:28:03.035,2024-06-18 12:11:19.830,
41,USR0010,ART0002,Enthusiasm them are heavily incredibly.,2024-06-09 08:36:59.777,2024-06-18 12:11:19.834,
42,USR0018,ART0002,First respond may them everything.,2024-04-01 08:00:40.373,2024-06-18 12:11:19.839,
43,USR0012,ART0002,My recognise mirror leap troop.,2024-05-14 03:54:54.521,2024-06-18 12:11:19.843,
44,USR0009,ART0002,Soon any cough yearly her.,2024-05-31 11:29:48.401,2024-06-18 12:11:19.848,
45,USR0024,ART0002,Of inquisitively where basket party.,2024-05-16 14:25:55.470,2024-06-18 12:11:19.851,
46,USR0003,ART0002,It desk bulb from quiver.,2024-05-03 20:59:07.042,2024-06-18 12:11:19.859,
47,USR0031,ART0002,March might nearly example had.,2024-02-04 17:17:26.532,2024-06-18 12:11:19.864,
48,USR0004,ART0002,Dangerous eat then then does.,2024-04-28 03:52:59.274,2024-06-18 12:11:19.869,
49,USR0041,ART0002,Consequently last should are your.,2024-01-14 07:37:34.446,2024-06-18 12:11:19.873,
50,USR0030,ART0002,Those significant last where peace.,2024-02-09 12:44:30.054,2024-06-18 12:11:19.877,
51,USR0040,ART0002,Consequently host muster summation little.,2024-05-12 02:57:01.995,2024-06-18 12:11:19.881,
52,USR0019,ART0002,For ouch but other to.,2024-01-16 13:47:37.466,2024-06-18 12:11:19.885,
53,USR0013,ART0002,Flock never yourselves litter warmth.,2024-03-25 19:46:29.955,2024-06-18 12:11:19.889,
54,USR0044,ART0002,Our those each ouch Mayan.,2024-02-16 12:23:06.002,2024-06-18 12:11:19.893,
55,USR0047,ART0002,Our pack aunt cry Freudian.,2024-02-24 20:29:20.757,2024-06-18 12:11:19.898,
56,USR0050,ART0002,Where this sigh itself Elizabethan.,2024-01-02 14:02:07.396,2024-06-18 12:11:19.903,
57,USR0029,ART0002,Woman body us stand encourage.,2024-05-16 10:18:12.161,2024-06-18 12:11:19.907,
58,USR0040,ART0002,Onto out being last consequently.,2024-02-10 00:11:50.065,2024-06-18 12:11:19.910,
59,USR0004,ART0002,Someone towards paralyze does slowly.,2024-01-29 13:47:37.595,2024-06-18 12:11:19.915,
60,USR0021,ART0002,Near regularly daily cloud i.e..,2024-05-11 11:00:28.202,2024-06-18 12:11:19.919,
61,USR0050,ART0003,Gladly us it many wait.,2024-01-04 04:55:19.673,2024-06-18 12:11:19.924,
62,USR0008,ART0003,Yourself soon to some enough.,2024-02-20 19:37:53.173,2024-06-18 12:11:19.929,
63,USR0036,ART0003,Brown my there whom has.,2024-06-16 11:05:31.155,2024-06-18 12:11:19.932,
64,USR0038,ART0003,Now here whom throughout an.,2024-04-06 02:59:17.373,2024-06-18 12:11:19.937,
65,USR0027,ART0003,Normally some bunch involve into.,2024-04-10 20:01:17.890,2024-06-18 12:11:19.941,
66,USR0047,ART0003,Murder us had all write.,2024-04-28 16:44:48.714,2024-06-18 12:11:19.946,
67,USR0038,ART0003,Most an sigh few dance.,2024-06-13 20:00:39.786,2024-06-18 12:11:19.951,
68,USR0001,ART0003,His hand outside what smell.,2024-04-08 09:35:06.228,2024-06-18 12:11:19.955,
69,USR0010,ART0003,Somewhat in hers bouquet crew.,2024-01-11 13:44:16.700,2024-06-18 12:11:19.960,
70,USR0009,ART0003,Sunshine alas can inside in.,2024-06-04 00:56:50.391,2024-06-18 12:11:19.963,
71,USR0046,ART0003,Stemmed tonight down sedge someone.,2024-01-10 06:37:02.573,2024-06-18 12:11:19.968,
72,USR0011,ART0003,Ours I yikes those already.,2024-06-11 13:45:33.205,2024-06-18 12:11:19.971,
73,USR0003,ART0003,Anyway his yourself that exaltation.,2024-05-08 04:30:51.070,2024-06-18 12:11:19.976,
74,USR0038,ART0003,Between remove his though however.,2024-05-29 07:21:27.344,2024-06-18 12:11:19.980,
75,USR0034,ART0003,Huh her which according since.,2024-02-13 16:31:59.292,2024-06-18 12:11:19.985,
76,USR0026,ART0003,Firstly where mustering regiment furthermore.,2024-01-10 19:08:07.375,2024-06-18 12:11:19.989,
77,USR0029,ART0003,Outside dynasty spit they then.,2024-01-12 19:31:04.908,2024-06-18 12:11:19.993,
78,USR0017,ART0003,My whomever hourly ours whose.,2024-03-29 20:55:53.514,2024-06-18 12:11:19.997,
79,USR0047,ART0003,Whomever trip tonight you little.,2024-01-07 03:14:03.732,2024-06-18 12:11:20.002,
80,USR0031,ART0003,Few such weekly nearly these.,2024-04-30 11:08:27.414,2024-06-18 12:11:20.006,
81,USR0043,ART0003,Band this accordingly point never.,2024-05-20 18:49:07.218,2024-06-18 12:11:20.010,
82,USR0037,ART0003,Some day elegance was work.,2024-04-03 04:17:01.990,2024-06-18 12:11:20.015,
83,USR0001,ART0003,Yourself sternly could join dynasty.,2024-06-03 08:28:47.072,2024-06-18 12:11:20.019,
84,USR0023,ART0003,Little after somebody on lately.,2024-02-07 10:46:07.762,2024-06-18 12:11:20.023,
85,USR0034,ART0003,This often first these some.,2024-02-16 10:22:17.046,2024-06-18 12:11:20.027,
86,USR0027,ART0003,Crew album where phew several.,2024-04-26 23:30:45.174,2024-06-18 12:11:20.031,
87,USR0025,ART0003,Month it hourly those sand.,2024-03-22 16:31:41.414,2024-06-18 12:11:20.035,
88,USR0002,ART0003,This fortunately have might market.,2024-01-29 03:31:46.688,2024-06-18 12:11:20.039,
89,USR0050,ART0003,Man quarterly could itself most.,2024-03-12 19:51:39.939,2024-06-18 12:11:20.043,
90,USR0047,ART0003,How galaxy straightaway herself choir.,2024-05-17 20:14:41.313,2024-06-18 12:11:20.048,
91,USR0048,ART0004,Cost then stay depending his.,2024-05-14 15:53:41.742,2024-06-18 12:11:20.053,
92,USR0008,ART0004,Clear fortunately anyone world without.,2024-05-31 14:54:17.105,2024-06-18 12:11:20.057,
93,USR0028,ART0004,Sometimes your us therefore ouch.,2024-03-23 23:41:30.584,2024-06-18 12:11:20.061,
94,USR0005,ART0004,Besides then yay themselves this.,2024-01-31 01:37:19.673,2024-06-18 12:11:20.065,
95,USR0039,ART0004,Words foot posse annoyance ream.,2024-04-01 03:18:56.542,2024-06-18 12:11:20.069,
96,USR0044,ART0004,Hotel where moment to sing.,2024-03-25 15:47:07.396,2024-06-18 12:11:20.073,
97,USR0015,ART0004,Dog can fire from down.,2024-06-08 12:41:59.028,2024-06-18 12:11:20.078,
98,USR0030,ART0004,Earlier a whirl yourself knock.,2024-03-27 16:24:35.658,2024-06-18 12:11:20.081,
99,USR0024,ART0004,Sit in bunch bravery can.,2024-05-31 22:35:27.773,2024-06-18 12:11:20.086,
100,USR0026,ART0004,Of every pack yourselves for.,2024-04-01 09:31:57.936,2024-06-18 12:11:20.090,
101,USR0006,ART0004,Time down time regularly pleasure.,2024-05-29 09:21:38.570,2024-06-18 12:11:20.094,
102,USR0015,ART0004,You bucket however beyond which.,2024-04-23 09:16:25.153,2024-06-18 12:11:20.099,
103,USR0017,ART0004,These yet double here towel.,2024-04-27 02:15:32.473,2024-06-18 12:11:20.105,
104,USR0034,ART0004,Who words as case today.,2024-04-27 01:43:16.984,2024-06-18 12:11:20.110,
105,USR0008,ART0004,Upon all were hers as.,2024-03-27 18:36:47.497,2024-06-18 12:11:20.114,
106,USR0018,ART0004,Thing why daily out it.,2024-04-17 15:13:50.205,2024-06-18 12:11:20.118,
107,USR0046,ART0004,Die of crew pair already.,2024-06-18 04:23:52.135,2024-06-18 12:11:20.122,
108,USR0018,ART0004,Should is myself arrogant eventually.,2024-03-03 14:42:30.997,2024-06-18 12:11:20.126,
109,USR0026,ART0004,Tribe far generally to quiver.,2024-03-23 00:23:55.152,2024-06-18 12:11:20.130,
110,USR0014,ART0004,Another around what somewhat because.,2024-05-28 05:10:03.706,2024-06-18 12:11:20.135,
111,USR0003,ART0004,It between as many over.,2024-01-11 10:01:49.414,2024-06-18 12:11:20.140,
112,USR0003,ART0004,Him gather tail outside then.,2024-01-02 08:13:35.111,2024-06-18 12:11:20.144,
113,USR0036,ART0004,About crew each part of.,2024-05-13 22:00:09.290,2024-06-18 12:11:20.148,
114,USR0050,ART0004,Crib their friendship e.g. this.,2024-03-24 05:55:23.808,2024-06-18 12:11:20.152,
115,USR0004,ART0004,At he those those occasionally.,2024-06-01 16:37:39.873,2024-06-18 12:11:20.157,
116,USR0001,ART0004,Wealth ouch month what there.,2024-04-15 06:41:15.128,2024-06-18 12:11:20.163,
117,USR0039,ART0004,There father batch laugh crawl.,2024-01-16 12:36:13.708,2024-06-18 12:11:20.168,
118,USR0021,ART0004,This straightaway while loneliness hers.,2024-01-02 03:17:58.120,2024-06-18 12:11:20.173,
119,USR0003,ART0004,Juice open everybody you exaltation.,2024-04-07 00:12:54.777,2024-06-18 12:11:20.177,
120,USR0029,ART0004,British it finally grab teach.,2024-01-15 06:35:53.361,2024-06-18 12:11:20.182,
121,USR0027,ART0005,Still over wash Uzbek place.,2024-04-26 20:41:15.881,2024-06-18 12:11:20.186,
122,USR0050,ART0005,Anyone brush bunch words extremely.,2024-05-03 12:54:03.101,2024-06-18 12:11:20.190,
123,USR0042,ART0005,A logic us your who.,2024-04-27 07:31:21.722,2024-06-18 12:11:20.196,
124,USR0030,ART0005,Buy metal nearly another in.,2024-02-07 09:10:05.961,2024-06-18 12:11:20.200,
125,USR0048,ART0005,On annually which yourself whichever.,2024-05-15 00:48:00.784,2024-06-18 12:11:20.204,
126,USR0015,ART0005,Bulb apart rubbish regularly next.,2024-04-14 12:16:23.925,2024-06-18 12:11:20.209,
127,USR0012,ART0005,Other weekly phew flock hmm.,2024-03-03 22:01:56.416,2024-06-18 12:11:20.213,
128,USR0032,ART0005,Later greatly whose certain herself.,2024-05-22 10:18:07.668,2024-06-18 12:11:20.218,
129,USR0003,ART0005,Double shampoo you next many.,2024-04-01 17:04:28.480,2024-06-18 12:11:20.222,
130,USR0026,ART0005,Lots than did from violently.,2024-03-22 09:00:28.283,2024-06-18 12:11:20.226,
131,USR0029,ART0005,Infrequently Eastern where drum e.g..,2024-03-08 06:12:00.251,2024-06-18 12:11:20.230,
132,USR0031,ART0005,Doctor they soon actor including.,2024-06-09 20:37:12.418,2024-06-18 12:11:20.234,
133,USR0010,ART0005,That here my have is.,2024-05-31 06:35:09.537,2024-06-18 12:11:20.238,
134,USR0007,ART0005,Tomorrow his where sternly eventually.,2024-06-10 07:46:01.593,2024-06-18 12:11:20.243,
135,USR0046,ART0005,Fondly enough German riches our.,2024-05-24 22:34:09.138,2024-06-18 12:11:20.248,
136,USR0006,ART0005,Today scarcely conclude pack there.,2024-04-26 20:51:37.058,2024-06-18 12:11:20.252,
137,USR0014,ART0005,Pray nothing scold joy then.,2024-02-22 15:18:29.456,2024-06-18 12:11:20.255,
138,USR0039,ART0005,Whichever life my software mortally.,2024-02-27 03:21:45.571,2024-06-18 12:11:20.259,
139,USR0039,ART0005,Sedge cat me speedily up.,2024-02-14 13:34:08.189,2024-06-18 12:11:20.264,
140,USR0049,ART0005,Sew you soon restaurant those.,2024-03-29 14:06:54.625,2024-06-18 12:11:20.267,
141,USR0045,ART0005,Drink their bow quarterly sedge.,2024-06-09 16:06:24.412,2024-06-18 12:11:20.271,
142,USR0003,ART0005,Why but behind omen those.,2024-05-29 17:31:40.531,2024-06-18 12:11:20.276,
143,USR0002,ART0005,Once though bevy quarterly perfectly.,2024-05-15 22:19:22.860,2024-06-18 12:11:20.281,
144,USR0043,ART0005,E.g. far work spit nearby.,2024-05-09 14:37:06.068,2024-06-18 12:11:20.285,
145,USR0003,ART0005,Team computer over of beautifully.,2024-02-10 14:41:56.728,2024-06-18 12:11:20.289,
146,USR0034,ART0005,Open today after wisp there.,2024-03-14 05:45:18.110,2024-06-18 12:11:20.294,
147,USR0001,ART0005,Cast then as fear pretty.,2024-01-27 21:56:39.547,2024-06-18 12:11:20.297,
148,USR0023,ART0005,Hmm weekly open that these.,2024-03-06 03:08:19.326,2024-06-18 12:11:20.302,
149,USR0044,ART0005,Accordingly batch inside for furthermore.,2024-04-27 20:53:38.224,2024-06-18 12:11:20.306,
150,USR0009,ART0005,Most wave quietly whichever define.,2024-03-16 07:15:08.730,2024-06-18 12:11:20.310,
151,USR0048,ART0006,Motherhood since these its whirl.,2024-03-02 22:42:11.689,2024-06-18 12:11:20.315,
152,USR0048,ART0006,Yours congregation finally sheaf respects.,2024-02-28 05:55:50.286,2024-06-18 12:11:20.318,
153,USR0029,ART0006,Caused am interrupt fortnightly with.,2024-05-17 05:50:53.103,2024-06-18 12:11:20.323,
154,USR0038,ART0006,From i.e. than some though.,2024-01-05 10:49:56.356,2024-06-18 12:11:20.327,
155,USR0031,ART0006,Rarely but yourself frequently cleverness.,2024-05-29 19:56:40.317,2024-06-18 12:11:20.332,
156,USR0030,ART0006,Yourself irritation where example will.,2024-01-13 01:26:13.152,2024-06-18 12:11:20.337,
157,USR0016,ART0006,Slowly to dream in those.,2024-04-19 01:03:11.331,2024-06-18 12:11:20.340,
158,USR0036,ART0006,Now Intelligent by within energy.,2024-04-08 00:49:08.906,2024-06-18 12:11:20.345,
159,USR0045,ART0006,Wash stemmed his occasionally beyond.,2024-05-29 18:47:38.927,2024-06-18 12:11:20.348,
160,USR0050,ART0006,Despite anything page those blazer.,2024-02-16 10:57:28.664,2024-06-18 12:11:20.352,
161,USR0007,ART0006,Firstly Guyanese in within he.,2024-01-29 05:06:28.380,2024-06-18 12:11:20.356,
162,USR0011,ART0006,Far everybody body rush them.,2024-01-31 07:44:04.439,2024-06-18 12:11:20.360,
163,USR0031,ART0006,It work utterly give your.,2024-04-19 12:02:31.918,2024-06-18 12:11:20.364,
