id,category,question,answer,created_at,updated_at,deleted_at
FAQ01,profil,Bagaimana cara saya memperbarui informasi profil saya?,"Anda dapat memperbarui informasi profil Anda melalui menu 'Pengaturan Profil' di aplikasi. Klik ikon profil, pilih 'Pengaturan', dan edit informasi yang diperlukan.",2024-06-06 17:40:10.058,2024-06-06 17:40:10.058,
FAQ02,profil,Apakah saya bisa mengubah alamat email yang sudah terdaftar?,"Ya, Anda bisa mengubah alamat email Anda melalui menu 'Pengaturan Profil'. Namun, Anda mungkin perlu memverifikasi alamat email baru Anda.",2024-06-06 17:40:10.064,2024-06-06 17:40:10.064,
FAQ03,profil,Bagaimana cara mengganti foto profil saya?,"Untuk mengganti foto profil, buka 'Profil Saya', klik pada foto profil Anda saat ini, dan pilih foto baru dari galeri atau ambil foto baru dengan kamera.",2024-06-06 17:40:10.069,2024-06-06 17:40:10.069,
FAQ04,littering,Bagaimana cara melaporkan sampah yang tidak pada tempatnya?,"Anda dapat melaporkan sampah yang tidak pada tempatnya melalui fitur 'Laporkan Sampah' di aplikasi. Ambil foto sampah tersebut, tambahkan deskripsi singkat, dan kirim laporan Anda.",2024-06-06 17:40:10.073,2024-06-06 17:40:10.073,
FAQ05,littering,Apakah ada sanksi bagi yang membuang sampah sembarangan?,"Ya, sesuai dengan peraturan daerah, membuang sampah sembarangan dapat dikenakan denda atau sanksi lainnya. Silakan cek peraturan lokal untuk detailnya.",2024-06-06 17:40:10.076,2024-06-06 17:40:10.076,
FAQ06,littering,Apa yang terjadi setelah saya melaporkan sampah?,"Setelah Anda melaporkan sampah, tim kami akan memverifikasi laporan tersebut dan mengkoordinasikan pembersihan dengan pihak berwenang setempat.",2024-06-06 17:40:10.082,2024-06-06 17:40:10.082,
FAQ07,rubbish,Apa saja jenis-jenis sampah yang dapat didaur ulang?,"Jenis sampah yang dapat didaur ulang termasuk plastik, kertas, kaca, dan logam. Pastikan untuk memisahkan sampah sesuai kategori sebelum mendaur ulang.",2024-06-06 17:40:10.086,2024-06-06 17:40:10.086,
FAQ08,rubbish,Bagaimana cara memisahkan sampah dengan benar?,"Pisahkan sampah berdasarkan jenisnya - organik, anorganik, dan berbahaya. Gunakan tempat sampah yang berbeda untuk setiap kategori untuk mempermudah proses daur ulang.",2024-06-06 17:40:10.090,2024-06-06 17:40:10.090,
FAQ09,rubbish,Apa yang dimaksud dengan sampah organik?,"Sampah organik adalah sampah yang berasal dari bahan-bahan alami yang dapat terurai, seperti sisa makanan, daun, dan potongan kayu.",2024-06-06 17:40:10.095,2024-06-06 17:40:10.095,
FAQ10,misi,Bagaimana cara berpartisipasi dalam misi kebersihan?,Anda dapat berpartisipasi dalam misi kebersihan dengan mendaftar melalui aplikasi di bagian 'Misi'. Pilih misi yang tersedia dan ikuti instruksi yang diberikan.,2024-06-06 17:40:10.099,2024-06-06 17:40:10.099,
FAQ11,misi,Apa saja manfaat mengikuti misi kebersihan?,"Manfaat mengikuti misi kebersihan termasuk mendapatkan poin dan level, membantu menjaga lingkungan, dan berkesempatan memenangkan penghargaan.",2024-06-06 17:40:10.102,2024-06-06 17:40:10.102,
