id,author_id,report_type,title,description,waste_type,latitude,longitude,address,city,province,status,reason,created_at,updated_at,deleted_at
RPT0001,USR0009,littering,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,approve,,2024-06-08 14:36:47.467,2024-06-10 07:18:08.547,
RPT0002,USR0009,littering,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,reject,Laporan sampah kamu dianggap tidak sesuai dan tidak dapat ditindaklanjutkan,2024-06-08 14:37:17.021,2024-06-10 07:18:08.776,
RPT0003,USR0009,littering,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 14:51:46.866,2024-06-08 14:51:46.866,
RPT0004,USR0009,littering,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 15:02:18.049,2024-06-08 15:02:18.049,
RPT0005,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 15:06:34.460,2024-06-08 15:06:34.460,
RPT0006,USR0009,littering,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 15:07:05.120,2024-06-08 15:07:05.120,
RPT0007,USR0009,littering,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 15:39:56.185,2024-06-08 15:39:56.185,
RPT0008,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 15:57:38.909,2024-06-08 15:57:38.909,
RPT0009,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 16:01:11.094,2024-06-08 16:01:11.094,
RPT0010,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 16:03:28.845,2024-06-08 16:03:28.845,
RPT0011,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 16:03:57.997,2024-06-08 16:03:57.997,
RPT0012,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 16:06:02.272,2024-06-08 16:06:02.272,
RPT0013,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 16:08:09.748,2024-06-08 16:08:09.748,
RPT0014,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 16:08:21.724,2024-06-08 16:08:21.724,
RPT0015,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 16:12:09.638,2024-06-08 16:12:09.638,
RPT0016,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 16:12:39.029,2024-06-08 16:12:39.029,
RPT0017,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 16:13:47.161,2024-06-08 16:13:47.161,
RPT0018,USR0009,littering,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 16:15:15.611,2024-06-08 16:15:15.611,
RPT0019,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 17:07:00.177,2024-06-08 17:07:00.177,
RPT0020,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 17:07:10.719,2024-06-08 17:07:10.719,
RPT0021,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 17:10:18.688,2024-06-08 17:10:18.688,
RPT0022,USR0009,littering,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 17:11:20.911,2024-06-08 17:11:20.911,
RPT0023,USR0009,littering,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 17:11:44.705,2024-06-08 17:11:44.705,
RPT0024,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 21:06:57.421,2024-06-08 21:06:57.421,
RPT0025,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 21:07:54.797,2024-06-08 21:07:54.797,
RPT0026,USR0009,littering,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-08 21:08:23.967,2024-06-08 21:08:23.967,
RPT0027,USR0004,rubbish,judul,Tempat sampah di dekat halte bus sudah penuh dengan sampah.,"sampah basah,sampah kering",-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-09 10:29:41.587,2024-06-09 10:29:41.587,
RPT0028,USR0004,rubbish,,Tempat sampah di dekat halte bus sudah penuh dengan sampah.,"sampah basah,sampah kering",-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-09 10:30:36.332,2024-06-09 10:30:36.332,
RPT0029,USR0004,rubbish,,Tempat sampah di dekat halte bus sudah penuh dengan sampah.,"sampah basah,sampah kering",-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-09 10:30:54.852,2024-06-09 10:30:54.852,
RPT0030,USR0004,rubbish,,a,sampah basah,-7.9354884,112.5779292,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-09 10:37:36.958,2024-06-09 10:37:36.958,
RPT0031,USR0004,rubbish,,ccfc,sampah basah,-7.9354884,112.5779292,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-09 10:39:09.269,2024-06-09 10:39:09.269,
RPT0032,USR0004,rubbish,,fffg,sampah basah,-7.9354617,112.5780269,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,approve,,2024-06-09 10:50:29.870,2024-06-10 12:31:56.302,
RPT0033,USR0004,rubbish,,ccv,sampah basah,-7.9354896,112.5779572,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-09 10:55:38.358,2024-06-09 10:55:38.358,
RPT0034,USR0004,rubbish,,ccv,sampah basah,-7.9354896,112.5779572,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-09 10:56:20.396,2024-06-09 10:56:20.396,
RPT0035,USR0004,rubbish,,hxhxjf,sampah basah,-7.935494,112.5779512,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,reject,Ga jls,2024-06-09 11:27:06.957,2024-06-09 19:02:16.269,
RPT0036,USR0004,rubbish,,aaa,sampah basah,-7.9354893,112.5779683,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,reject,Deskripsi tidak jelaz,2024-06-09 12:41:56.365,2024-06-09 19:01:18.112,
RPT0037,USR0004,rubbish,,bhaik dan aman seperti biasanya,"sampah basah,sampah kering",-7.935493,112.5779966,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,approve,,2024-06-09 15:45:15.777,2024-06-09 18:45:11.135,
RPT0038,USR0004,rubbish,judul,Tempat sampah di dekat halte bus sudah penuh dengan sampah.,"sampah basah,sampah kering",-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,reject,"Tidak ada gambar/bukti, pasti hoax kamu aul",2024-06-09 15:49:32.605,2024-06-09 19:01:35.832,
RPT0039,USR0009,littering,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-09 15:50:00.541,2024-06-09 15:50:00.541,
RPT0040,USR0009,rubbish,Test Judul rubbish,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-09 15:54:09.929,2024-06-09 15:54:09.929,
RPT0041,USR0004,rubbish,judul,Tempat sampah di dekat halte bus sudah penuh dengan sampah.,"sampah basah,sampah kering",-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-09 16:07:44.454,2024-06-09 16:07:44.454,
RPT0042,USR0001,rubbish,judul,Tempat sampah di dekat halte bus sudah penuh dengan sampah.,"sampah basah,sampah kering",-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-09 16:37:32.037,2024-06-09 16:37:32.037,
RPT0043,USR0004,rubbish,judul,Tempat sampah di dekat halte bus sudah penuh dengan sampah.,"sampah basah,sampah kering",-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-10 02:06:49.003,2024-06-10 02:06:49.003,
RPT0044,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-10 07:12:53.864,2024-06-10 07:12:53.864,
RPT0045,USR0009,littering,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-10 07:12:54.453,2024-06-10 07:12:54.453,
RPT0046,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-10 07:15:55.649,2024-06-10 07:15:55.649,
RPT0047,USR0009,littering,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-10 07:15:56.076,2024-06-10 07:15:56.076,
RPT0048,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-10 07:18:06.768,2024-06-10 07:18:06.768,
RPT0049,USR0009,littering,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-10 07:18:07.328,2024-06-10 07:18:07.328,
RPT0050,USR0009,,Test Judul,Test Description,organik,-6.1754,106.8272,Jl. Sudirman,Jakarta,DKI Jakarta,need review,,2024-06-10 07:20:25.895,2024-06-10 07:20:25.895,
RPT0051,USR0004,rubbish,,halo mas mbak admin mwehehe,sampah kering,-7.9354884,112.5779292,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-10 08:15:27.826,2024-06-10 08:15:27.826,
RPT0052,USR0004,rubbish,,"tadi awalnya jalan2 kak trs nemu tumpukan sampah gt, gatau siapa yg buang",sampah basah,-7.935489,112.5779288,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-10 09:06:16.443,2024-06-10 09:06:16.443,
RPT0053,USR0004,rubbish,,"tadi awalnya jalan2 kak trs nemu tumpukan sampah gt, gatau siapa yg buang",sampah basah,-7.935489,112.5779288,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-10 09:06:31.026,2024-06-10 09:06:31.026,
RPT0054,USR0004,rubbish,,"tadi awalnya jalan2 kak trs nemu tumpukan sampah gt, gatau siapa yg buang",sampah basah,-7.935489,112.5779288,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-10 09:08:38.358,2024-06-10 09:08:38.358,
RPT0055,USR0004,rubbish,,"tadi awalnya jalan2 kak trs nemu tumpukan sampah gt, gatau siapa yg buang",sampah basah,-7.935489,112.5779288,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-10 09:09:10.193,2024-06-10 09:09:10.193,
RPT0056,USR0004,rubbish,,"tadi awalnya jalan2 kak trs nemu tumpukan sampah gt, gatau siapa yg buang",sampah basah,-7.935489,112.5779288,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-10 09:10:21.303,2024-06-10 09:10:21.303,
RPT0057,USR0004,rubbish,,"tadi awalnya jalan2 kak trs nemu tumpukan sampah gt, gatau siapa yg buang",sampah basah,-7.935489,112.5779288,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-10 09:10:37.225,2024-06-10 09:10:37.225,
RPT0058,USR0004,rubbish,,"tadi awalnya jalan2 kak trs nemu tumpukan sampah gt, gatau siapa yg buang",sampah basah,-7.935489,112.5779288,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-10 09:10:38.819,2024-06-10 09:10:38.819,
RPT0059,USR0004,rubbish,,"tadi awalnya jalan2 kak trs nemu tumpukan sampah gt, gatau siapa yg buang",sampah basah,-7.935489,112.5779288,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-10 09:10:39.221,2024-06-10 09:10:39.221,
RPT0060,USR0004,rubbish,,aman,sampah basah,-7.9354902,112.5780006,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-10 09:20:25.779,2024-06-10 09:20:25.779,
RPT0061,USR0004,rubbish,,aa,sampah basah,-7.9354879,112.5779376,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-10 09:51:04.026,2024-06-10 09:51:04.026,
RPT0062,USR0004,rubbish,,numpuk 2 kilo aja mungkin,sampah basah,-7.9354896,112.5779625,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-10 09:55:54.800,2024-06-10 09:55:54.800,
RPT0063,USR0004,rubbish,,banyak sampah plastik kakak,sampah basah,23.885942,45.079162,"LQAA3789، 3789 طريق مكة المكرمة، 7360، القويع 19211, , القويع",Al Quway’iyah,Riyadh Province,need review,,2024-06-10 10:00:10.006,2024-06-10 10:00:10.006,
RPT0064,USR0004,rubbish,,banyak plastiknya,sampah basah,-7.9354902,112.5780006,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,need review,,2024-06-10 10:03:36.849,2024-06-10 10:03:36.849,
RPT0065,USR0004,rubbish,,udah aku buang,sampah basah,4.695135,96.7493993,"MPWX+3Q2, Blang Mancung Bawah, Kecamatan Ketol",Kabupaten Aceh Tengah,Aceh,need review,,2024-06-10 10:07:46.489,2024-06-10 10:07:46.489,
RPT0066,USR0004,rubbish,,aman aza,sampah basah,-7.9354907,112.5779954,"3H7H+R6F, Landungsari, Kecamatan Dau",Kabupaten Malang,Jawa Timur,reject,Data tidak lengkap,2024-06-10 10:10:15.490,2024-06-10 12:32:28.947,
RPT0067,USR0004,rubbish,,aman aza,sampah basah,-7.609330600000001,111.6183755,"Dusun Sidorejo Desa Sidomulyo, Waduk, Kecamatan Wonoasri",Kabupaten Madiun,Jawa Timur,approve,,2024-06-10 12:09:52.442,2024-06-10 12:32:12.082,
