id,title,description,thumbnail,start_date,end_date,point,status,admin_id,created_at,updated_at,deleted_at
TM0001,New Task Update hehe,New Task description,https://picsum.photos/640/480,2024-06-04 00:00:00,2024-07-04 00:00:00,100,1,AD0001,2024-02-24 17:26:52.000,2024-06-20 11:22:42.856,
TM0002,Him head sneeze one yourselves life.,Brilliance firstly occasionally. Who occasionally aha.,https://picsum.photos/640/480,2024-05-08 01:11:00,2024-05-11 01:11:00,1891,0,AD0001,2024-03-19 14:39:11.000,2024-06-16 00:00:00.008,
TM0003,Accordingly along crew everything nightly due.,Will then a. In team everyone.,https://picsum.photos/640/480,2024-01-03 10:16:00,2024-01-08 10:16:00,966,0,AD0001,2024-01-01 03:15:46.000,2024-06-16 00:00:00.008,2024-06-20 11:00:28.101
TM0004,Yourselves child mob break those energetic.,There moreover chase. Lots those bravo.,https://picsum.photos/640/480,2024-01-13 14:28:14,2024-01-16 14:28:14,955,0,AD0001,2024-01-09 22:50:31.000,2024-06-16 00:00:00.008,
TM0005,Summation dangerous purely mine once ski.,So far just. May so these.,https://picsum.photos/640/480,2024-03-27 19:13:24,2024-04-02 19:13:24,1616,0,AD0001,2024-02-13 01:44:44.000,2024-06-16 00:00:00.008,
TM0006,Too we is eek within then.,Silence it importance. Significant explode victoriously.,https://picsum.photos/640/480,2024-04-16 20:40:34,2024-04-21 20:40:34,2157,0,AD0001,2024-03-18 13:02:08.000,2024-06-16 00:00:00.008,
TM0007,World Bahamian is may energetic yikes.,Wait those since. Whom his indoors.,https://picsum.photos/640/480,2024-05-22 00:00:00,2024-06-12 00:00:00,761,0,AD0001,2024-03-18 04:54:34.000,2024-06-19 16:29:07.901,
TM0008,A often outside crew work ostrich.,What trip her. Without troupe those. tes,https://picsum.photos/640/480,2024-04-23 00:00:00,2024-06-27 00:00:00,1161,1,AD0001,2024-01-09 14:20:23.000,2024-06-19 16:29:39.437,
TM0009,Then we this you yourselves that.,What dive that. Myself ours comb.,https://picsum.photos/640/480,2024-01-05 00:00:00,2024-06-11 00:00:00,588,0,AD0001,2024-01-01 21:56:06.000,2024-06-19 16:48:38.455,
TM0010,Team then this all did comfort.,Hey below from. Someone toes instead.,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718877458/task_thumbnail_update/ccw27jqkqzosn7nrfnh6.jpg,2024-05-23 00:00:00,2024-06-13 00:00:00,680,0,AD0001,2024-02-13 03:39:25.000,2024-06-20 09:57:39.580,2024-06-20 09:57:59.391
TM0011,Somebody hand substantial today to it,Usually as this. Afghan before a.,https://picsum.photos/640/480,2024-04-01 00:00:00,2024-06-20 00:00:00,400,0,AD0001,2024-03-10 10:34:27.000,2024-06-20 06:17:21.906,
TM0012,Purple yearly her over their dress.,Instance eek recognise. Frock myself thing.,https://picsum.photos/640/480,2024-05-01 14:05:14,2024-05-03 14:05:14,489,0,AD0001,2024-01-17 02:35:47.000,2024-06-16 00:00:00.008,2024-06-16 11:41:22.336
TM0013,Off whose you bones it here.,This just catalog. Nest himself which.,https://picsum.photos/640/480,2024-02-03 00:21:06,2024-02-05 00:21:06,1775,0,AD0001,2024-01-26 22:13:24.000,2024-06-16 00:00:00.008,2024-06-16 11:38:23.169
TM0014,Huh any yesterday team brush itself.,Nervously sleep it. Brave rapidly whomever.,https://picsum.photos/640/480,2024-04-14 22:01:16,2024-04-21 22:01:16,1664,0,AD0001,2024-03-20 08:27:41.000,2024-06-16 00:00:00.008,2024-06-16 11:38:11.959
TM0015,Recently her labour whom.,May yikes work. Swiss who conclude.,https://picsum.photos/640/480,2024-06-25 00:00:00,2024-06-24 00:00:00,600,1,AD0001,2024-05-12 21:27:57.000,2024-06-16 11:50:50.960,2024-06-19 14:24:19.487
TM0016,Yell me head secondly always now.,Our those on. E.g. ours ouch.,https://picsum.photos/640/480,2024-04-21 21:17:03,2024-04-28 21:17:03,1037,1,AD0001,2024-04-15 05:42:01.000,2024-06-15 13:03:34.201,2024-06-15 13:40:04.800
TM0017,Those shall that has are within.,Effect limp build. Regiment where where.,https://picsum.photos/640/480,2024-03-06 10:35:50,2024-03-10 10:35:50,1012,0,AD0001,2024-01-17 16:53:07.000,2024-06-16 00:00:00.008,2024-06-16 11:38:01.484
TM0018,Without you its those obnoxious speed.,Kiss recently do. Deeply Alpine an.,https://picsum.photos/640/480,2024-01-01 00:00:00,2024-07-14 00:00:00,842,0,AD0001,2024-01-01 08:22:31.000,2024-06-16 06:48:29.628,2024-06-16 07:08:54.127
TM0019,Last tomorrow yours idea to each.,Annually some with. All elsewhere those.,https://picsum.photos/640/480,2024-06-11 13:19:14,2024-06-15 13:19:14,1292,1,AD0001,2024-02-18 17:54:54.000,2024-06-15 13:03:34.212,2024-06-15 13:39:04.009
TM0020,Which do stagger how still rarely.,Yet yours yet. Below now this.,https://picsum.photos/640/480,2024-01-12 17:33:27,2024-01-14 17:33:27,2315,1,AD0001,2024-01-02 14:19:44.000,2024-06-15 13:03:34.216,2024-06-15 13:37:23.855
TM0021,Test,Test,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718723094/task_thumbnail/uhwekltzlcb1jvgqznbv.png,2024-06-18 00:00:00,2024-06-19 00:00:00,123,1,AD0001,2024-06-18 15:04:55.464,2024-06-18 15:04:55.464,2024-06-18 15:05:09.396
TM0022,Test,Test,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718727369/task_thumbnail/ys17ta1zpjbm6equygzu.png,2024-06-18 00:00:00,2024-06-19 00:00:00,123,1,AD0001,2024-06-18 16:16:09.416,2024-06-18 16:16:09.416,2024-06-18 16:16:15.866
TM0023,Mengumpulkan sampah botol plastik,"Ikuti tantangan ""Bersih Bumi"" dengan mengumpulkan botol plastik di sekitar Anda. Kumpulkan sebanyak mungkin dalam satu bulan untuk mengurangi polusi dan menjaga kebersihan lingkungan. Peserta dengan jumlah botol terbanyak akan mendapatkan hadiah spesial. Ayo, tunjukkan kepedulian kita terhadap lingkungan!",https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718804942/task_thumbnail_update/xyavw4fp9oejpivks3pe.jpg,2024-06-10 00:00:00,2024-06-15 00:00:00,1000,0,AD0001,2024-06-19 13:48:14.495,2024-06-19 16:28:45.755,2024-06-20 07:05:37.289
TM0024,Temukan sampah botol plastik,"Ikuti tantangan ""Bersih Bumi"" dengan mengumpulkan botol plastik di sekitar Anda. Kumpulkan sebanyak mungkin dalam satu bulan untuk mengurangi polusi dan menjaga kebersihan lingkungan. Peserta dengan jumlah botol terbanyak akan mendapatkan hadiah spesial. Ayo, tunjukkan kepedulian kita terhadap lingkungan!",https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718877412/task_thumbnail/e6z27moqzyjgxztcdkil.jpg,2024-06-01 00:00:00,2024-06-18 00:00:00,1000,0,AD0001,2024-06-20 09:56:52.746,2024-06-20 09:58:30.859,2024-06-20 09:58:40.100
TM0025,test,test,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718883418/task_thumbnail/evdjfikqcjvafct5x3dx.png,2024-06-20 00:00:00,2024-06-21 00:00:00,123,1,AD0001,2024-06-20 11:36:58.806,2024-06-20 11:36:58.806,2024-06-20 11:37:11.393
