id,users_id,task_users_challange_id,task_steps_id,task_challange_id,admins_id,count_challange
3379,1317,4389,2623,6317,9564,63
3395,8996,3226,2176,3864,9060,67
8606,2555,8742,9136,6173,3191,86
8426,991,9296,3034,2209,360,73
4453,7263,1919,2110,5000,7355,11
7279,1271,632,7557,8881,5168,45
8209,8970,247,4517,9513,8211,44
5947,6408,9535,721,2428,4325,100
8258,3902,4621,8661,7658,7580,65
2961,443,6810,9030,7794,7617,34
8595,4048,8076,9442,667,7902,42
3357,6510,9327,9199,3390,8117,13
8117,7775,4109,4718,7589,1912,5
4793,6408,7329,5673,2606,2619,74
3324,2423,941,6347,1568,9402,80
4415,6554,7472,2078,495,5616,25
4422,3196,6746,5828,2958,8211,65
8619,1847,5535,3441,9513,807,98
7160,4349,4450,1110,818,9060,29
2620,3704,5038,6936,9467,5168,61
5265,2441,3836,1110,9019,8132,28
5204,7775,4898,9427,916,907,64
4595,9158,7411,1041,3543,7276,97
6105,152,9811,5126,6555,9060,9
439,2214,1366,7242,6027,4435,9
2930,9496,4516,3343,6704,5937,86
1490,6554,6541,1365,8258,2190,37
2960,9366,4516,2014,7363,1322,41
2959,9860,6983,3164,7612,9251,45
4965,8361,3448,4521,791,276,33
4589,3704,9320,9669,838,6865,60
7661,3752,2314,8852,3543,5760,9
6813,4048,6983,5341,9082,8502,59
6173,6559,3246,8334,2714,5059,39
6726,6403,4898,4517,997,2112,72
1812,7710,7472,3164,8377,1131,5
1696,5978,897,9288,1296,2357,68
7789,3490,6142,1355,1737,2619,57
827,8527,9320,8758,5456,164,5
9239,5978,3955,884,7364,276,53
3689,2232,4336,5533,2483,7461,99
658,5435,1605,8063,1629,6168,56
1553,3490,8076,2078,997,7902,2
2132,3704,3222,2698,2538,9515,91
3557,2408,126,1365,8799,3144,49
6598,8443,178,551,9157,7379,96
6045,3220,6142,1443,3576,7276,74
8587,8996,6925,5323,4402,8306,42
1528,5297,7862,7099,5514,2215,84
4749,8183,3226,6675,6349,8221,81
442,5364,9040,2224,5000,9251,94
55,3542,247,8205,1242,6087,33
2634,6761,2399,7132,3558,314,59
4942,2214,5056,2699,4888,4477,75
6921,6132,7281,342,2391,4675,17
1350,6959,6676,3199,4175,907,21
439,2090,3955,1610,3254,2215,94
3901,4219,3979,2698,1553,5237,55
3248,3367,6676,1418,9453,2475,74
5316,3221,5056,8402,9373,6165,55
7756,7710,5951,6231,7794,1912,82
1940,7775,3237,4194,667,2998,55
243,5364,1768,1879,838,8739,38
6679,8361,7420,3346,1568,8117,67
5546,5283,632,6231,5329,4477,48
5026,5274,4799,3346,7267,2068,64
8799,185,3222,7099,1296,7071,24
3984,9668,9781,8477,2596,8739,85
6145,6900,5737,1938,9488,2879,41
2933,9260,7727,1776,3440,7468,99
2115,5933,9230,2322,1629,6168,91
7775,276,4036,995,9423,7449,24
2952,9010,2695,5156,495,7824,69
1640,8314,6293,884,9157,7902,59
4301,5283,162,6126,2973,5937,13
4797,1014,4036,8245,5241,4610,59
3233,7031,6793,1605,9157,925,27
5242,2889,6047,1912,6715,8968,80
1984,561,4336,9199,2483,7272,25
1355,1271,7411,1605,431,9060,94
4393,4219,2233,3199,818,8778,29
8674,2983,636,5593,1822,8132,70
4372,8703,5444,6347,2025,7633,66
8513,4349,240,1585,1988,1698,100
136,3902,6142,5339,8210,8797,15
622,1555,7162,2658,7802,664,23
9390,2895,6925,6834,4779,2068,60
8004,3676,5891,8852,8062,8601,26
