id,contents_id,categories_id,admins_id,count_conten
9805,3749,3761,7362,13
9288,9901,1311,8968,30
474,8730,5493,2215,98
919,2789,5528,2215,11
7634,2680,8918,2069,25
1044,8454,5438,2058,77
7819,7439,4152,7793,67
2137,2021,9825,7468,12
3872,6868,5528,2215,89
6182,8053,3371,8471,36
5492,9831,4100,6168,95
7966,2922,8072,7633,92
6911,5,1807,8221,24
7136,3749,5274,737,6
2584,3310,3711,925,98
2144,3310,7265,1152,40
202,5065,4100,387,74
164,6093,4152,7272,52
8770,3749,9416,4477,39
9728,8055,4691,3409,95
7896,7613,5166,8924,46
7126,8839,7048,7617,80
8064,7439,1128,2753,20
6333,4633,5166,5937,25
9612,9527,1178,9402,44
1262,8505,1439,4781,76
5013,7521,890,387,83
6297,9884,3711,6165,30
9501,7034,7906,8928,94
6851,48,4691,9551,76
7717,9884,7007,8739,55
7643,7991,2533,4555,50
1217,9360,3761,4675,7
8768,9591,4812,124,30
3475,3216,6858,5059,44
3101,6759,8729,907,39
943,9673,3781,4675,85
5381,7742,4691,8924,61
9331,2887,4333,2619,71
8047,9360,1504,8863,5
5853,1220,3380,2400,56
5409,9222,5101,6145,82
599,7439,4383,314,62
3059,816,4503,4610,47
3108,7624,2451,737,83
7218,9831,13,4609,82
7122,7059,8776,4873,22
7861,835,1990,7902,86
9601,7701,8726,6087,13
2207,8839,1141,4610,6
8470,4330,1504,9564,7
7694,7119,5987,23,29
4171,1285,4383,7617,7
5884,835,8558,7272,57
8597,8408,6012,1546,26
5821,3991,4812,2809,56
4590,8989,9662,9060,1
1138,9985,6338,8060,12
2484,1220,1889,7272,52
1206,6842,1682,5760,6
3732,9282,8766,1152,76
5128,7632,9206,664,4
3382,7613,4503,1698,57
7962,7777,6012,9060,23
8685,7059,4273,8117,17
8384,340,198,3927,66
2753,546,2451,9448,27
4178,5065,1460,4392,49
9191,1366,2654,3474,88
4197,2859,2654,6327,65
677,3157,5284,117,32
6531,2469,6785,314,65
2801,6714,8729,8739,86
4994,7521,5284,314,71
2435,7059,9618,3409,66
7170,8053,4383,7793,78
5598,869,3380,3927,81
795,9985,831,850,27
6400,9594,5916,2619,25
4912,289,4100,2069,21
8282,2292,13,4250,85
4195,6571,176,7449,11
7894,1206,7912,5616,50
5150,7439,3126,6168,41
9891,3157,2451,5229,41
9251,742,4152,4325,20
5080,351,9990,9551,89
9812,5317,5398,130,49
7682,3152,7013,1882,55
5251,7059,9662,2190,95
1506,8510,4371,314,47
5308,8505,4273,124,49
9612,4236,1682,2400,24
8383,4236,4243,5616,90
7859,742,4184,2753,14
468,6868,9685,8471,16
6659,8887,5493,1152,87
1664,6686,5332,6327,20
6311,2289,6858,8804,58
403,5393,1807,1912,66
3238,4949,1990,7793,99
878,546,8726,644,74
6062,7991,8129,4873,77
253,4633,9610,2215,64
3115,2835,9990,2753,86
4452,835,7265,4783,6
9839,7624,6340,9251,58
6653,1285,5402,23,78
6803,7439,8782,276,68
948,4223,9685,1882,4
7935,465,1807,1131,60
6988,2450,8782,3409,24
9474,4236,5290,737,67
1634,3310,3371,2763,41
2732,6819,4243,8968,89
7963,3749,7906,925,17
8457,3991,2155,737,26
9819,2789,3788,5436,11
1771,2922,5995,2475,61
6154,7439,7147,117,94
2892,2316,6331,3927,55
6935,6391,2237,1152,46
8623,4223,7147,8863,75
9887,7624,1115,5237,30
1843,6819,8380,5616,56
5703,869,8558,9564,20
6753,1285,7007,5760,23
368,218,5274,656,1
9105,1959,1674,7276,2
3875,4223,963,2763,79
1974,8454,5332,7276,36
1220,2289,2911,5229,32
7698,7624,1504,807,38
3251,9527,6858,130,63
6332,2680,6338,6087,22
7890,921,1889,8117,86
8982,921,4244,4435,2
3171,6113,5284,7633,53
164,289,7147,7379,17
3221,5317,8380,2357,58
1512,8730,935,7793,65
3916,6686,4463,9060,9
9456,8312,7912,6145,28
5333,465,176,314,28
9919,921,4622,8196,93
924,7613,4622,1882,23
4057,61,7322,7633,39
7880,6868,3715,9551,100
5645,9831,3140,370,61
767,6303,6340,7449,32
