id,longtitude,langtitude,address,city,province
5117,-33.996387,27.0059945,"Gg. Laswi No. 478
Sibolga, BA 25304",Purwokerto,Papua Barat
1062,-76.396524,26.790935,"Gg. Pasirkoja No. 83
Kediri, Riau 83898",Tomohon,Kepulauan Bangka Belitung
4059,152.673847,-84.430442,"Jl. Jamika No. 376
Bogor, Sumatera Barat 20384",Tasikmalaya,Kalimantan Timur
8109,-127.986750,28.309484,"Gang Cihampelas No. 575
Kotamobagu, Banten 75857",Purwokerto,DKI Jakarta
6428,-101.146766,3.6681165,"Gang Jakarta No. 9
Medan, RI 45246",Sungai Penuh,Sulawesi Barat
4200,4.172284,-39.3848155,"Jalan Suniaraja No. 4
Palopo, Sulawesi Utara 23035",Jambi,Maluku Utara
5268,175.797478,-80.174377,"Gang Rajawali Timur No. 59
Parepare, Sulawesi Selatan 12029",Bogor,Maluku Utara
5593,167.189011,47.361376,"Gg. Kutisari Selatan No. 053
Sukabumi, Sulawesi Tengah 43885",Pontianak,Papua Barat
6562,90.111003,-5.060406,"Gang Kutisari Selatan No. 53
Tual, KR 30710",Kupang,Maluku Utara
8284,63.460567,-70.293380,"Gang HOS. Cokroaminoto No. 31
Palangkaraya, KB 31020",Salatiga,Riau
491,26.034696,86.3198195,"Gg. Moch. Toha No. 66
Tual, MU 88983",Dumai,Sulawesi Tenggara
1711,15.277411,-55.9881175,"Gang Pelajar Pejuang No. 47
Cirebon, NT 43272",Solok,Bengkulu
3385,-108.892619,61.5160135,"Jalan Dipenogoro No. 6
Mojokerto, NB 20244",Probolinggo,Sulawesi Selatan
3944,-170.014279,-1.333442,"Jalan Surapati No. 24
Bukittinggi, BE 09245",Kota Administrasi Jakarta Timur,Nusa Tenggara Timur
5131,93.906448,35.326710,"Gg. Pasteur No. 62
Samarinda, Sulawesi Tengah 81529",Balikpapan,Kepulauan Riau
7260,-51.138043,22.519188,"Gg. Cihampelas No. 13
Tangerang, SU 38074",Malang,Papua Barat
7906,-60.275102,-7.8123385,"Jalan BKR No. 913
Kotamobagu, Papua Barat 63318",Metro,DI Yogyakarta
3922,81.605601,-86.384566,"Jl. Dipatiukur No. 763
Lubuklinggau, Jawa Tengah 90627",Pekalongan,Sulawesi Tenggara
6315,58.172545,-72.304210,"Jl. Peta No. 1
Balikpapan, LA 47778",Kota Administrasi Jakarta Selatan,Kalimantan Selatan
8144,177.432653,-84.2005725,"Gg. Erlangga No. 30
Kota Administrasi Jakarta Utara, ST 88061",Padang,Sulawesi Barat
6713,146.673970,-83.852254,"Gang W.R. Supratman No. 0
Payakumbuh, GO 07534",Probolinggo,Sumatera Selatan
3396,9.363349,-6.5029865,"Gang Ahmad Dahlan No. 6
Blitar, YO 16120",Tasikmalaya,Kalimantan Barat
7483,-9.602815,43.1302325,"Gang Lembong No. 961
Palopo, SN 21030",Tebingtinggi,Jambi
2053,-74.436489,-78.7137295,"Gang Raya Setiabudhi No. 882
Bau-Bau, KU 36453",Pematangsiantar,Kalimantan Timur
6328,112.920402,-45.4566815,"Gg. Rajiman No. 01
Tebingtinggi, Papua Barat 50241",Samarinda,Sulawesi Tenggara
6287,128.696555,81.659544,"Gg. Kebonjati No. 20
Magelang, GO 65458",Padang,Bali
1940,-71.489195,38.336527,"Gang Astana Anyar No. 184
Bukittinggi, Kalimantan Selatan 00898",Pekanbaru,Maluku Utara
9865,-87.231124,-43.173519,"Jl. Kutai No. 64
Tanjungpinang, GO 19344",Sibolga,Sumatera Selatan
1710,-28.300799,5.684551,"Jalan Monginsidi No. 81
Samarinda, PA 31139",Payakumbuh,Sumatera Utara
6655,-24.800288,79.3773935,"Jalan Raya Setiabudhi No. 204
Kota Administrasi Jakarta Pusat, DKI Jakarta 41372",Sungai Penuh,Sulawesi Utara
3464,22.733043,20.6119225,"Jalan Kiaracondong No. 6
Bitung, Jawa Tengah 36298",Bontang,Sumatera Utara
8949,-86.594973,81.244089,"Gg. Jakarta No. 9
Pariaman, PA 93723",Dumai,Lampung
7621,-130.208533,67.7444995,"Jalan Rumah Sakit No. 975
Pariaman, Jambi 33030",Lubuklinggau,Kalimantan Tengah
665,100.863851,-36.456134,"Gg. Pasir Koja No. 1
Bekasi, Sumatera Utara 46459",Bogor,Sulawesi Tenggara
736,-24.146412,25.075518,"Gang Cempaka No. 11
Kota Administrasi Jakarta Barat, Sulawesi Tenggara 44091",Palembang,Nusa Tenggara Barat
7808,-33.037681,-45.695604,"Gang Yos Sudarso No. 3
Palu, Kalimantan Utara 69018",Pangkalpinang,Aceh
6991,-141.353316,-35.4885375,"Gang Soekarno Hatta No. 48
Sungai Penuh, DI Yogyakarta 83401",Banda Aceh,Lampung
5205,-41.758267,-4.736861,"Jalan Merdeka No. 4
Gorontalo, Sumatera Selatan 64391",Pagaralam,Bengkulu
2497,-97.853126,-40.3910605,"Jalan Astana Anyar No. 8
Binjai, Papua 47273",Batu,Kepulauan Bangka Belitung
725,28.889311,-45.415943,"Gg. Siliwangi No. 8
Depok, Jawa Tengah 33202",Kupang,Kepulauan Riau
5831,106.840689,20.9100975,"Jalan Moch. Ramdan No. 4
Kediri, Kepulauan Bangka Belitung 26600",Yogyakarta,Sumatera Selatan
271,-41.554561,-33.904701,"Gang R.E Martadinata No. 9
Magelang, SB 00931",Jayapura,Kalimantan Selatan
5268,175.420502,28.2305405,"Gang Suniaraja No. 8
Bandar Lampung, SR 11215",Kota Administrasi Jakarta Timur,Sulawesi Utara
5604,32.134146,29.396460,"Jl. Gedebage Selatan No. 74
Padang, BB 53550",Pariaman,Maluku Utara
3458,-25.827564,50.944116,"Gang Gegerkalong Hilir No. 15
Dumai, NT 74874",Denpasar,Nusa Tenggara Barat
3645,165.899891,1.604101,"Gang Ir. H. Djuanda No. 72
Sabang, BA 35175",Tual,Sulawesi Utara
6535,-105.286942,39.230373,"Jl. Otto Iskandardinata No. 352
Sawahlunto, KI 91796",Manado,Sulawesi Tenggara
3052,178.455281,38.7152485,"Gang Stasiun Wonokromo No. 0
Lubuklinggau, Maluku Utara 39589",Bontang,Bengkulu
3620,139.078264,53.7786885,"Gang Pacuan Kuda No. 43
Tarakan, SG 88908",Gorontalo,Sulawesi Tengah
4155,18.012897,-9.748328,"Jl. Ronggowarsito No. 24
Solok, AC 91987",Jayapura,Jambi
7788,3.900311,-38.0480965,"Jl. Moch. Ramdan No. 3
Bitung, SU 13111",Solok,Sumatera Barat
2651,153.220115,-25.629778,"Gang Cikutra Timur No. 3
Bukittinggi, SN 45138",Surabaya,Sulawesi Selatan
4879,31.763063,-32.655815,"Jl. Pasirkoja No. 056
Tebingtinggi, Jambi 10657",Singkawang,DKI Jakarta
1994,90.876798,87.8768915,"Gg. Kendalsari No. 10
Jambi, DKI Jakarta 15972",Yogyakarta,Maluku
4827,28.463918,23.703384,"Gang M.H Thamrin No. 7
Metro, JK 18641",Lubuklinggau,Sumatera Selatan
2361,-110.213947,27.526019,"Jl. Suryakencana No. 9
Samarinda, KB 50148",Bogor,Jawa Barat
1928,159.860713,-89.9955215,"Jl. Sukajadi No. 16
Salatiga, GO 52423",Batu,Maluku Utara
3729,-137.053566,36.627252,"Gang Lembong No. 875
Tangerang, LA 17927",Meulaboh,Gorontalo
9771,129.169921,63.576719,"Jl. Kiaracondong No. 4
Bekasi, KT 76310",Depok,Papua
7967,151.053660,78.6703345,"Jalan Lembong No. 055
Pematangsiantar, Kalimantan Tengah 48771",Pangkalpinang,Sumatera Utara
3235,99.958058,-9.1055835,"Gang Dr. Djunjunan No. 205
Tomohon, PA 98462",Palembang,Kalimantan Tengah
3365,-85.310685,56.187245,"Jl. Cikapayang No. 449
Kupang, SU 58830",Lhokseumawe,Sulawesi Tenggara
4508,51.254544,-18.9000515,"Gang Monginsidi No. 364
Banjarbaru, Kalimantan Timur 65295",Semarang,Maluku Utara
1500,-58.845616,8.3062335,"Jalan Pasteur No. 352
Tebingtinggi, Kalimantan Barat 76951",Mojokerto,Bali
5809,-97.606578,16.008523,"Gang Waringin No. 14
Ternate, ST 65418",Madiun,DKI Jakarta
114,-86.845615,88.233706,"Jl. Cikutra Timur No. 7
Palopo, KB 95479",Palangkaraya,Aceh
7864,130.557378,83.9993175,"Jalan Sukajadi No. 8
Sabang, SR 98515",Kota Administrasi Jakarta Barat,Aceh
9547,32.874126,-44.499198,"Jl. H.J Maemunah No. 689
Sukabumi, KB 99590",Kota Administrasi Jakarta Selatan,Bengkulu
4094,-36.111956,25.571052,"Gg. Peta No. 859
Langsa, Sumatera Selatan 80118",Meulaboh,Nusa Tenggara Barat
2349,-80.302713,-65.881255,"Gang Kebonjati No. 537
Mojokerto, BT 41607",Tual,Maluku Utara
76,130.061211,14.3925855,"Jalan Wonoayu No. 2
Balikpapan, Nusa Tenggara Barat 55461",Medan,Jawa Tengah
6117,66.501059,-81.200387,"Jl. Rajiman No. 50
Sibolga, MU 93104",Kupang,Banten
5572,73.213562,-84.077448,"Jl. Sadang Serang No. 3
Pagaralam, Gorontalo 75681",Palembang,Jawa Barat
8240,125.327779,-17.048084,"Gg. Jend. Sudirman No. 50
Pematangsiantar, JI 04843",Bandung,Jawa Tengah
4007,-35.849682,39.8970015,"Gg. Jamika No. 42
Bengkulu, Papua 72093",Bitung,Papua Barat
5639,-13.588236,-31.556695,"Jalan Veteran No. 9
Surakarta, AC 45344",Subulussalam,Sulawesi Tenggara
7670,-132.637358,-15.182175,"Jalan Indragiri No. 6
Gorontalo, SS 97305",Serang,Bengkulu
6024,-179.421436,75.8056855,"Jl. Ciumbuleuit No. 851
Sawahlunto, DI Yogyakarta 18722",Jayapura,Kalimantan Barat
1365,-43.747810,13.1580485,"Jalan Kebonjati No. 544
Tangerang Selatan, Maluku 90994",Depok,Aceh
6431,2.839361,-18.719014,"Jl. HOS. Cokroaminoto No. 193
Banjarbaru, Jambi 51157",Makassar,Nusa Tenggara Timur
2558,-56.622525,-6.8015485,"Gang Kutai No. 96
Malang, SU 04619",Tomohon,Sumatera Selatan
4219,-38.552557,43.4220065,"Jl. Erlangga No. 094
Tomohon, Kepulauan Riau 41203",Lhokseumawe,Lampung
2864,69.799022,75.077470,"Jl. Ahmad Dahlan No. 5
Lhokseumawe, KI 10882",Tidore Kepulauan,Kalimantan Tengah
1645,-147.999463,-33.686139,"Gg. R.E Martadinata No. 617
Kupang, SS 66491",Pekanbaru,Kalimantan Tengah
1913,94.166263,-10.2041005,"Jl. M.H Thamrin No. 31
Batu, DI Yogyakarta 27680",Sungai Penuh,Aceh
3833,-166.324304,23.3050255,"Jl. H.J Maemunah No. 417
Cilegon, Kalimantan Utara 41631",Pekanbaru,Sulawesi Tenggara
8093,85.022467,35.1930195,"Jalan Otto Iskandardinata No. 226
Magelang, JK 64786",Magelang,DI Yogyakarta
7149,-106.988175,-22.5923935,"Gang Suniaraja No. 95
Probolinggo, Sumatera Selatan 73959",Langsa,Sulawesi Tenggara
8848,30.987934,2.327682,"Gg. Kebonjati No. 18
Kota Administrasi Jakarta Selatan, KI 56697",Sungai Penuh,Lampung
8012,69.530369,69.9510725,"Jl. Pasirkoja No. 96
Bau-Bau, Bengkulu 22516",Tegal,Kalimantan Barat
2944,-160.939666,-2.354979,"Jl. HOS. Cokroaminoto No. 00
Pontianak, Kalimantan Timur 17641",Kota Administrasi Jakarta Barat,Papua Barat
4372,96.765056,-8.2191285,"Gang Jend. Sudirman No. 0
Jambi, Papua 53447",Pasuruan,DI Yogyakarta
2761,68.055343,-54.5642675,"Jalan Gedebage Selatan No. 192
Purwokerto, JT 54894",Banjarmasin,Aceh
6035,64.587174,-27.096706,"Gang Ahmad Yani No. 6
Singkawang, Nusa Tenggara Barat 04696",Lubuklinggau,Sulawesi Utara
9289,-4.950356,17.486361,"Gang Jend. Sudirman No. 3
Madiun, Sulawesi Utara 51822",Pontianak,Maluku Utara
7511,83.831642,-88.3663975,"Jalan Pelajar Pejuang No. 54
Blitar, Sumatera Selatan 62940",Makassar,Papua Barat
807,-33.188546,32.0224655,"Gg. Cikutra Barat No. 325
Ternate, Maluku Utara 74234",Padang,Kalimantan Utara
8450,119.501632,-66.765921,"Gg. Dipatiukur No. 397
Depok, Kalimantan Timur 68800",Mojokerto,Sumatera Utara
9465,53.257165,68.7773865,"Gang Jamika No. 482
Lhokseumawe, JT 83494",Balikpapan,Sulawesi Tengah
2018,4.245035,-77.553228,"Gg. Veteran No. 077
Sibolga, Aceh 32026",Payakumbuh,Jawa Timur
2674,3.653708,54.241654,"Gg. Lembong No. 73
Banda Aceh, Maluku Utara 57399",Bandar Lampung,Sumatera Barat
2410,-19.063743,-89.076428,"Jalan Antapani Lama No. 54
Padang Sidempuan, KR 24673",Denpasar,Sulawesi Tenggara
