id,report_type,waste_type,title,description,status,reason,created_at,updated_at,deleted_at
e63256c1-4ade-4de3-94a0-a45804697e1c,littering,anorganik,Magnam quaerat labore quo natus sunt laboriosam.,Eligendi nostrum doloribus esse nisi voluptatum quia. Quis voluptate odio ex quod optio.,approve,Nihil explicabo illo vero dolorem odit dicta. Sapiente nostrum expedita eligendi numquam reprehenderit corporis. Veritatis autem fuga debitis nesciunt. Quaerat in occaecati odit incidunt.,1990-01-06 02:12:32,1983-01-10 23:12:09,2024-04-12 03:12:44
3c448967-042d-4699-9c7f-c0c0243c26f9,rubbish,sampah basah,Doloremque nemo commodi mollitia facere vitae.,"Ipsa corporis est consectetur fugit. Nostrum quis distinctio nisi accusamus eveniet fuga amet. Veniam quis a perspiciatis.
Nostrum odit fugit magnam iure. Corrupti facere sed nemo.",need review,Temporibus placeat recusandae vitae tenetur voluptate dignissimos. Fugit unde beatae ut vitae. Laborum consequatur voluptatibus. Temporibus officia iure ducimus rem mollitia.,2020-09-02 15:27:18,1983-03-24 06:52:54,2024-03-13 11:44:39
5341d5bb-f5da-4b78-aad8-d984d332dbff,rubbish,sampah kering,Voluptatibus nihil labore est rerum rerum magni.,"At similique voluptatibus eos animi alias. Similique totam reprehenderit est. Nesciunt accusamus a provident voluptatibus.
Ipsa sed qui minima.",need review,Unde illo deleniti quod accusamus. Ducimus blanditiis quas maiores vitae soluta iure. Laudantium facilis possimus explicabo sed.,1971-08-03 13:11:29,1985-08-25 21:27:08,2024-02-09 22:29:11
97888595-eba0-44b3-93df-0292f414af37,littering,berbahaya,Mollitia ex amet magnam magni occaecati.,"Eligendi neque dolores ab laborum ab. Consectetur sapiente numquam qui sunt.
Tenetur maiores voluptatem. Soluta hic exercitationem.
Maxime saepe mollitia incidunt.",approve,Nesciunt recusandae cupiditate assumenda reiciendis ipsum. Laborum sequi explicabo laborum eius ratione quas.,2007-03-17 03:55:40,2006-03-12 09:13:14,2024-03-23 22:22:59
2cfa38de-7d7a-4a31-b8cc-4c846fdd327d,rubbish,"sampah basah, sampah kering",Animi sit tempore tenetur tenetur rem ex dolore.,Officiis ab repellat ut atque. Repellat architecto mollitia impedit sequi placeat cumque cupiditate. Possimus amet nemo quam distinctio error nulla eum.,need review,"Enim assumenda accusantium delectus.
Consectetur suscipit sapiente officia. Consequatur quod veritatis doloremque. Cumque provident maiores iusto sint voluptas.",2022-05-13 14:07:26,1989-06-16 14:23:37,2024-04-26 03:54:09
a9d251c0-1d29-4c25-a65f-6304c8f54ac7,littering,anorganik,Ea ducimus unde quis consequuntur cumque.,"Doloribus cupiditate aliquid deserunt aperiam itaque harum.
Maiores mollitia placeat dolor veritatis rem veritatis. Repellendus earum eius consequuntur. Nesciunt quasi odit sit quos modi.",reject,"Facere facere quo. Officia fugiat magnam perspiciatis ducimus vitae dolor.
Illum voluptatum explicabo consequuntur. Facere et eveniet minima illum beatae optio sint.",1990-11-01 05:54:07,1979-12-21 21:45:59,2024-04-21 11:50:48
e19ae060-b3fc-414e-95ac-d190966fedc6,littering,organik,In earum consectetur non quae fuga eius.,Occaecati occaecati tenetur. Voluptate sunt magni aut eum iste. Accusamus laudantium voluptatibus architecto modi sit quisquam.,reject,"Veniam similique nisi laborum voluptatum unde. Dolore adipisci enim. Recusandae eius sapiente aliquam unde ab.
Voluptate laudantium molestiae pariatur perspiciatis id.",2009-07-09 19:23:26,1971-08-07 20:37:32,2024-04-10 23:58:57
787ad6cc-f3bc-4862-90a5-752919c84f98,littering,organik,Aperiam iste error et labore quidem.,Nam fugiat nulla debitis dignissimos. Maxime modi eum ipsa quae ipsa odio. Aliquid in eaque quia aliquid autem.,reject,"Magni nobis deleniti repellat rerum. Numquam ab quidem ea sit vitae veritatis occaecati. Cumque facere reiciendis eligendi.
Soluta porro debitis.",1981-11-03 00:51:42,1984-01-11 03:14:40,2024-05-01 23:28:22
6c1a4e83-6ffa-446b-89a9-90d900ee0723,rubbish,"sampah basah, sampah kering",Quam quia consequuntur.,Quo nobis repellendus molestias qui voluptatem. Ipsam temporibus quaerat quasi repudiandae asperiores aut.,need review,Dolore molestias quas in animi odio. Minima quia occaecati.,1979-08-14 12:01:59,1981-12-07 09:02:27,2024-05-05 10:56:17
4dfa499a-5a0a-4eac-82ef-3861f8b574c5,littering,anorganik,Illo unde eos qui deserunt non odit.,Ex eos vel velit cupiditate corporis ipsam. Reiciendis repellendus temporibus accusantium.,reject,Suscipit accusantium magni dolore suscipit distinctio laboriosam. Quas delectus ut sit velit doloremque. Quasi nemo natus a.,2012-04-25 12:29:13,2001-06-21 08:25:42,2024-06-03 06:05:51
