id,title,description,point,start_date,end_date,status,created_at,updated_at
6028,Corrupti labore unde aliquid officiis libero.,"Porro dolorem tenetur sit neque nam hic. Culpa nobis recusandae explicabo.
Quam quia corrupti illo quod ut. Fuga ab tenetur fuga nisi quod doloribus. Recusandae totam architecto vel qui quis amet.",334,1986-10-05 09:48:32,2018-05-28 01:00:50,True,1995-09-11 00:58:12,1996-07-17 06:21:21
5506,Voluptate culpa quia omnis maiores provident voluptates nostrum.,"Tempore ab provident accusantium. Quam impedit cupiditate odit sed temporibus rem. Adipisci officiis dolores quis. Fugit quo aliquam repellat pariatur.
Dolore quas iste. Reiciendis ipsum nemo necessitatibus fugiat quibusdam porro.",94,1984-10-10 06:47:31,1975-07-27 14:04:07,False,1986-05-13 01:01:51,1990-08-11 03:52:22
8366,Amet occaecati dolor consectetur earum.,"Aspernatur facere quas sunt. Placeat molestiae dolorem at distinctio fuga.
Quo neque quidem sed quis delectus magni. Harum omnis natus cumque sapiente a. Aliquam voluptate aut similique nisi est quibusdam.",74,1986-01-18 00:13:41,2015-08-06 13:29:55,False,2016-08-10 18:28:53,1971-07-16 13:23:34
4259,Fugiat quas sint repellendus tempore.,"Accusamus ut voluptates totam occaecati cum occaecati. Minus a illum iure ex porro.
Saepe eaque laudantium nemo ea distinctio. Veniam impedit quidem nisi.
Quae provident explicabo. Necessitatibus veritatis maxime adipisci delectus nam maxime.",648,2010-08-18 07:50:47,2007-10-18 05:50:48,False,1971-12-11 14:09:04,1980-08-30 00:31:03
596,Distinctio dignissimos inventore illo quisquam veniam expedita voluptatibus.,"Quia suscipit optio placeat similique dolor. Doloribus ad est nam magnam a. At adipisci accusantium at soluta et vitae. Recusandae minus voluptate.
Aliquid id adipisci culpa consequatur. Quos et quos sequi corrupti perferendis repellendus.",859,1976-01-20 05:33:12,2012-05-27 22:25:07,False,2002-12-13 10:12:11,2004-03-05 07:49:51
4914,Molestiae nisi quia amet.,"Quo reprehenderit officiis quo. Fugiat sapiente commodi illo alias. Cum veniam dolorum veniam expedita non ratione.
Sequi modi neque quasi voluptas impedit blanditiis sint.",958,1976-09-06 20:26:32,1973-07-01 13:26:27,True,2020-05-08 14:50:51,1975-02-03 09:03:09
2140,Ducimus blanditiis omnis.,Iste sapiente provident quod tempore voluptatem veniam similique. Repellendus hic odio impedit quas. Maiores assumenda quia illo adipisci quae mollitia. Quasi nemo exercitationem rerum adipisci cum.,820,2023-09-01 11:57:03,1989-08-20 18:55:10,False,1992-08-02 16:26:46,2006-11-14 08:33:40
5456,Quis harum sunt.,"Animi perferendis aperiam omnis dolor porro quam. Facilis assumenda maiores laboriosam id blanditiis alias.
Aspernatur blanditiis qui molestias cumque dolores. Optio animi minus sunt nisi. Voluptatum illo odit sint provident pariatur mollitia.",660,1997-05-03 13:37:24,1993-03-08 00:39:41,True,1974-03-10 20:21:08,2007-05-22 01:23:04
9423,Rerum iusto exercitationem.,"Quod illo consectetur laudantium explicabo at numquam. Debitis atque quas itaque saepe hic earum. Asperiores inventore labore voluptates aliquam atque.
Sed facere eius possimus nisi. Magnam magnam rerum culpa odio optio. Consequuntur harum dolor.",269,1990-08-05 15:15:51,1995-05-13 04:38:48,True,2014-03-23 21:36:24,1982-12-19 19:26:45
6805,Inventore cumque odit minima delectus tempore.,"Ratione id esse vero excepturi a minima. Suscipit neque culpa necessitatibus. Possimus aut magnam dolore.
Minus labore impedit rerum. Nulla quaerat molestias reprehenderit.",889,2006-04-28 08:12:26,2004-10-18 23:56:36,True,2014-06-01 12:50:30,2002-03-03 22:24:52
8633,Dolor aspernatur at dicta unde et.,"Nobis maiores libero. Nam asperiores tempore illo soluta amet. Quam occaecati autem excepturi.
Exercitationem eligendi at velit officiis reprehenderit vero beatae. Dicta dolores repudiandae ipsum expedita. Atque occaecati dignissimos cum.",631,1997-09-05 17:26:40,2001-12-30 01:23:18,True,2005-05-03 05:41:12,2007-09-26 05:29:07
6704,Hic est sunt a voluptate.,"Laudantium accusamus laborum iure. Ratione facilis voluptas dicta repellendus.
Iste eligendi maiores aliquam. Cupiditate quas et quae accusamus tempora.",581,2020-02-15 06:27:14,2002-06-07 12:22:29,False,1976-04-27 06:40:41,2016-05-31 11:57:18
7599,Id neque pariatur iste saepe autem incidunt.,"Consequatur iusto voluptatum atque repudiandae. Reprehenderit recusandae assumenda blanditiis. Ad consectetur libero excepturi recusandae inventore.
Vel enim neque vitae ullam rerum.",479,1991-02-05 07:46:18,2023-03-09 03:17:20,False,1974-09-07 19:38:21,1987-01-06 03:39:33
3499,Accusantium quos inventore modi.,"Exercitationem sit esse placeat recusandae. Quisquam quo iusto dignissimos pariatur quidem earum. Delectus numquam dolorum quo. Dolores debitis mollitia vitae nulla eius ab.
Perspiciatis saepe voluptatum dignissimos quisquam illum totam.",281,1989-07-23 04:39:48,1988-07-24 12:35:46,False,1998-07-14 08:03:36,2022-08-04 07:21:30
2025,Consequuntur omnis beatae dicta.,"Et debitis esse corporis. Officiis eum veritatis repudiandae dolorem neque. Necessitatibus distinctio amet hic saepe. Beatae deleniti mollitia eveniet velit.
Natus dolores doloremque quis excepturi quod totam. Vero at temporibus quaerat ipsum.",533,1982-05-03 08:42:23,1971-06-03 03:33:05,False,1977-10-14 22:25:29,1978-02-03 10:26:40
6027,Veniam dolore amet voluptatem quidem hic.,Libero cum repellendus labore architecto debitis. Corporis amet commodi. Sed dignissimos quos.,296,1975-10-01 01:59:30,1996-12-07 22:26:42,True,1974-05-17 13:31:09,2004-12-12 16:36:07
2428,Saepe odit quam nesciunt omnis atque laudantium repellendus.,Dignissimos veritatis aliquid magnam. Nihil aperiam quisquam. Incidunt architecto vero dolores.,35,1988-11-07 04:43:28,1971-06-13 11:51:28,False,2008-02-19 21:12:18,2024-03-26 19:25:07
4824,Consequatur deleniti unde illum nesciunt et laboriosam.,"Ipsam alias quos debitis. Molestiae illum voluptate eos accusantium. Sit et illo natus fuga ea ut.
Velit debitis labore quidem eligendi vel. Eveniet repellendus blanditiis praesentium sunt quod atque. Dicta itaque sed harum ex.",107,1982-06-22 16:22:38,1982-01-22 11:45:02,False,1981-02-20 16:53:36,2018-06-11 00:23:56
1822,Odit ut commodi hic corporis.,"Occaecati corporis in optio.
Distinctio culpa quis voluptas qui totam consequatur quaerat. Ea rem modi unde voluptas tempore velit. Quos molestias magni beatae sint.
Voluptatibus vero saepe dicta deleniti rem eaque.",865,1981-01-31 01:27:14,1988-01-28 19:33:00,False,2011-10-22 09:57:40,2009-10-04 17:39:07
7802,Occaecati recusandae cupiditate est quae sunt nobis.,"Ipsa nobis dolores suscipit repellendus temporibus laudantium. Aliquam totam sit ipsa rem.
Deleniti soluta nesciunt nam in. Optio excepturi magni ullam.",347,2013-06-10 16:15:54,2018-08-22 18:10:32,True,2021-03-13 04:03:22,1980-07-16 05:25:48
241,Ullam architecto dolores.,"Rerum odio sint veritatis aliquid sapiente occaecati. Quis distinctio quod id atque molestias deserunt. Natus quo voluptatibus vitae incidunt vero reprehenderit facere.
Saepe ex molestiae eos. Cum est vel odio fuga.",615,1986-07-28 06:15:16,1998-04-07 20:25:14,False,1995-05-19 21:37:15,1971-06-11 19:59:16
6317,Ad sapiente voluptatibus.,"Eveniet voluptatum odio fuga quasi explicabo dolorem. Doloribus porro minima dolores voluptates accusantium.
Perferendis nisi nesciunt officia ad at sit. Suscipit eos modi aliquam laboriosam repellat eveniet suscipit.",814,1986-10-31 06:47:37,1984-12-16 04:50:50,False,2020-08-24 22:38:05,1973-09-09 18:28:28
9157,Et temporibus numquam atque.,"Ullam non voluptatem odit. Quod debitis ad nemo doloribus earum. Praesentium atque laudantium iste totam illum nihil.
Fugit dolor vel accusamus consequatur sint. Inventore optio omnis aspernatur ab autem recusandae nostrum.",69,1980-01-08 01:01:18,1994-05-08 09:20:55,True,1970-12-21 07:47:03,1985-10-17 09:10:15
5241,Numquam inventore ut.,"Maxime debitis culpa consequatur error pariatur.
Fugiat illum necessitatibus aliquid alias similique. Fuga sit perferendis iste eius.",582,2007-12-29 06:42:22,2016-12-22 17:48:01,False,2000-10-04 18:36:27,1993-05-27 14:17:33
997,Earum nulla optio quo.,Cupiditate sequi recusandae magni. Hic dolore porro minus eius incidunt hic. Porro cum cumque excepturi sunt possimus.,839,2005-10-06 19:54:35,1971-01-02 19:01:03,False,1986-02-06 08:19:04,2018-09-26 15:17:36
