id,status,created_at,updated_at
9230,need review,2018-06-12 16:54:25,2022-07-15 19:30:39
1630,reject,1999-03-16 23:10:45,1973-02-21 21:25:26
1156,need review,1984-06-21 00:19:44,2010-01-30 00:38:06
5318,approve,1985-05-13 09:14:27,1985-07-07 01:13:36
690,reject,2011-10-16 03:14:41,1971-10-11 05:14:30
5056,approve,2000-11-03 15:26:17,1992-06-14 00:10:33
3448,need review,2002-12-19 16:26:03,2017-08-05 21:23:14
7329,reject,1977-06-02 23:51:40,1974-05-02 05:35:38
6328,reject,2023-09-03 09:47:39,1989-12-19 12:58:55
8742,approve,2005-10-10 13:30:09,1993-12-22 02:30:43
7862,need review,1994-04-03 01:43:17,2010-07-14 11:24:15
2260,reject,1990-05-17 19:46:14,1990-06-27 21:49:37
9535,need review,2000-01-17 14:34:39,2016-10-13 00:31:59
4416,need review,1979-01-09 10:53:53,1970-11-23 00:57:15
2138,reject,2009-07-22 21:52:56,1977-01-01 21:23:36
1919,approve,1991-12-06 18:14:25,2013-07-20 03:12:19
3620,need review,1991-06-07 21:29:53,1999-07-31 11:32:19
9247,approve,2009-04-09 07:58:10,1978-02-22 09:24:50
6810,reject,1996-12-21 19:00:58,2006-09-01 05:07:07
7281,approve,2014-05-03 13:51:59,1995-05-18 14:21:25
7420,approve,2008-04-06 13:40:56,1972-06-18 22:26:10
1605,approve,1997-12-02 05:06:27,1992-07-29 01:35:49
4566,approve,2006-08-28 04:16:56,1985-04-22 16:04:30
4389,reject,1973-09-27 08:20:28,2014-05-04 16:44:33
8298,reject,2008-06-01 08:27:49,2009-04-17 20:30:44
6047,reject,2020-09-18 01:49:43,2000-11-06 18:44:05
6964,reject,1985-06-11 12:57:31,2015-07-05 14:32:16
5437,need review,1989-08-02 06:33:57,2012-11-11 21:33:15
8917,approve,2021-04-23 14:35:16,1985-03-19 14:59:16
8302,reject,1989-11-02 10:35:39,1973-12-30 03:50:00
5687,approve,2007-04-02 20:57:34,2001-11-17 23:35:23
1893,reject,2006-02-19 15:43:51,1990-10-23 18:16:39
9781,need review,2001-02-24 09:44:32,1984-04-10 22:07:16
4516,reject,2004-05-18 09:09:20,2021-02-17 12:00:33
2690,reject,2017-01-11 04:36:28,2016-04-14 22:28:43
4450,need review,1995-08-29 21:38:32,2020-02-02 16:38:49
5737,approve,1978-01-30 19:48:38,2003-10-16 14:24:08
3246,need review,1980-05-29 07:08:20,1989-04-17 05:27:42
