id,users_id,task_users_challange_id,task_steps_id,task_challange_id,admins_id,count_challange
1083,9366,6925,9134,8713,3345,76
958,9756,2460,9660,2602,6367,47
7012,4025,2211,9554,8693,8827,45
5843,1261,4388,5225,6686,1301,80
6663,7315,8413,3305,5443,4825,86
6271,1788,9166,8206,2602,8204,56
8331,5621,1964,6704,9217,4776,77
4221,5842,8650,1933,3344,720,54
1262,9106,1434,4770,1610,3960,64
4417,1392,2354,8021,887,3988,92
2835,7713,741,5331,1879,8939,1
4201,5239,9166,980,9148,95,60
7294,6067,5856,5331,4055,5689,65
5777,9859,7351,9505,6829,428,93
4802,9366,2231,221,8713,9252,75
5615,6067,3865,9938,4055,6367,32
6168,3115,5170,5131,7330,5935,100
3479,3268,5856,7761,1879,2621,92
7067,7315,9907,92,5772,1223,97
8806,6919,1223,5871,7959,1719,8
6844,6006,8063,4770,1559,3197,77
3599,2379,8650,423,8613,8804,13
3907,5981,9107,6683,5826,1648,73
5416,9106,2583,3277,9317,5837,20
8696,5549,2211,2772,3439,6572,51
246,1788,4049,7761,6895,2002,8
9151,1417,7351,3277,1345,7024,13
558,7713,3767,5500,8567,6367,74
8201,6006,1386,9852,8885,2621,49
3779,5654,9384,7657,773,6530,97
1003,839,557,4252,8689,1434,29
4208,2061,8966,7948,8110,1031,77
6069,4846,4818,6488,773,1134,96
3157,9061,3796,2526,6438,4825,85
7424,7713,5120,5500,2457,7939,71
5114,1096,5413,5531,9217,602,79
7484,5239,3495,4262,2162,5808,39
4281,585,2173,3305,6859,4439,20
195,2597,1386,4252,2392,6573,28
300,1387,9269,8539,5950,5262,31
4991,2327,9107,6282,7539,5276,84
2077,8417,4388,8021,6863,5837,63
9440,5399,5554,6704,2638,1434,69
6573,8521,3471,1673,7298,4844,75
4258,8790,8698,3514,8689,5342,45
1429,6180,9474,6863,7325,3345,80
2367,3691,6451,8432,7271,1323,28
2386,839,2504,5889,9339,8938,38
9361,5914,8061,458,5600,3168,42
3101,3247,817,7292,5477,7609,43
3656,9859,6061,6443,7279,5649,90
7748,9415,1227,9868,8110,1620,36
9576,3115,9384,9134,3439,9570,48
4048,7934,3865,7654,1166,9508,81
7194,5930,9935,1581,9408,2911,10
2646,2680,623,4450,7074,1031,27
3534,7412,2354,1746,455,787,82
1831,6006,9384,2045,3537,6015,27
5034,3531,2583,5230,6895,9136,100
4023,6574,4293,1457,5107,5649,12
2936,2143,8061,5230,9392,333,49
1935,1067,2231,5551,6895,1661,33
2283,9106,197,7657,6438,9959,98
2436,9870,4818,6790,7323,6318,58
4989,7943,5896,2771,9573,5424,53
3048,8124,2583,530,4927,95,89
1810,6422,3516,2771,9437,6272,75
707,1096,8005,2472,7283,4752,34
7458,6006,6843,282,6134,1323,43
5844,5342,9907,2382,9408,7539,37
6460,7934,3198,6282,5712,311,47
7320,6036,1386,6282,4810,720,2
5583,6314,599,8190,6438,2922,83
6949,1392,6366,665,5826,6835,26
2416,1289,5554,3495,8693,2996,81
1967,8692,9230,9852,9449,4881,87
9391,6067,5243,9905,9217,5262,36
3643,2327,5727,1933,2870,9584,100
6400,861,1964,2526,7959,4844,48
8667,7315,5120,1497,6134,2488,21
4531,5654,2148,6948,683,1434,75
9263,7934,8063,2526,1435,6950,85
3609,6067,7369,9212,7279,1301,73
9433,2218,557,7292,9158,4776,72
5225,6422,817,6790,8713,3467,98
8376,3691,8259,4262,4985,7608,87
6779,5399,6803,4252,6181,8059,87
396,2597,9107,5889,2162,354,48
134,9395,817,7024,9217,5837,85
8418,6547,1434,8576,1955,6978,51
4734,7348,166,2301,1002,2986,55
4009,5465,74,6846,8110,428,91
381,1788,5896,7292,7839,3374,41
5907,8692,6520,6953,5107,2922,32
9584,5709,8698,509,6234,4925,54
8394,6868,9935,980,967,3434,47
2024,1261,7734,1980,5443,2621,40
9808,207,8063,5225,7411,9136,34
2671,6208,9730,4450,9317,2643,76
