id,report_type,waste_type,title,description,status,created_at,updated_at,deleted_at
6bb23496-a07a-4905-8972-d8f3212c9ce1,rubbish,sampah basah,Voluptates perspiciatis quis tenetur.,"Voluptatum voluptatum officiis fugiat. Numquam iusto excepturi laboriosam.
Sunt corrupti molestias illo assumenda modi. Nemo ullam alias in architecto eos.",need review,2002-07-01 14:13:22,1977-11-30 07:37:26,2024-01-24 08:54:52
ce28ef0c-ce8a-4e0f-ae00-ea1ec90bb71f,littering,sampah basah,Ullam incidunt ullam laboriosam.,Neque eius accusantium. Debitis deserunt eos at dolore quia. Esse quam quasi eum placeat aperiam.,approve,1986-02-27 07:49:00,1983-08-17 04:18:11,2024-01-26 23:44:21
1e28e6ab-08bc-46e4-860f-bb30d6404c9c,littering,berbahaya,Nisi optio culpa qui.,Qui porro ratione eum mollitia esse vero officia. Similique iusto quas mollitia iusto rerum.,need review,1991-12-01 01:07:30,1970-04-29 12:38:20,2024-02-05 03:50:00
8c04421d-e0bf-4a42-8762-4858103a9f83,rubbish,sampah basah,Nulla dolores sunt quis voluptates ipsam quidem.,"Porro earum dolorem minus dolore deleniti. Repellendus veritatis eum officiis ab error qui sapiente.
Doloremque quod fugiat. Sed voluptatibus dignissimos repellendus. Quasi illo explicabo possimus.",approve,1986-10-20 14:42:21,1989-03-01 11:27:07,2024-04-22 05:01:51
c3b47fbb-0f08-4318-bae5-4fb979cac510,rubbish,"sampah basah,sampah kering",Dolor quasi dignissimos.,"Quis in id necessitatibus placeat quam. Atque officiis necessitatibus nobis dolores fuga corrupti architecto.
Ex fuga expedita natus. Pariatur possimus vero provident.",need review,1985-06-02 08:56:56,2015-01-12 10:35:51,2024-01-15 19:38:30
5ebc8911-6438-4730-810a-20f6c287d57d,littering,berbahaya,Odit architecto quo repellat excepturi expedita commodi.,Est ea modi reiciendis. Perferendis quaerat sapiente tenetur dicta architecto. Quibusdam autem adipisci.,approve,2017-11-12 10:08:00,2000-09-17 13:28:35,2024-03-18 08:05:49
0354eb46-2908-42a5-ba13-0bb9a3b31ecf,rubbish,anorganik,Officiis quaerat minima minima.,Eveniet ipsum qui officia officia. Cupiditate distinctio explicabo repellat culpa. Ullam dicta nostrum aspernatur quasi quis quod ratione.,approve,1971-09-11 22:51:48,2012-09-13 18:17:35,2024-02-12 13:11:50
cbfe1c2b-3f01-43d7-956f-337ffc54c229,rubbish,anorganik,Doloremque laborum perferendis occaecati veniam sunt.,"Fugiat praesentium eos natus. Voluptate nisi esse atque doloribus itaque ipsa.
Cum esse quibusdam consequuntur. Commodi unde iusto recusandae similique.",reject,2019-01-21 16:31:11,2005-07-29 06:53:46,2024-03-24 00:33:35
476131e3-4deb-4458-9140-21114cfe4d6e,littering,berbahaya,Occaecati exercitationem repudiandae hic beatae expedita.,"Aspernatur iure occaecati dolores doloribus earum. Vel pariatur magni reprehenderit.
Quas fugiat distinctio ipsa. Nobis ut minima fugiat deserunt delectus laboriosam. Velit tempora odit.",need review,1975-02-24 20:23:11,2023-04-01 03:20:53,2024-01-08 03:39:06
3f09dcdc-9104-434f-9f94-9e7e352984be,littering,anorganik,Nostrum odit expedita illo.,Sequi dolor occaecati blanditiis labore libero labore. In eaque consequuntur nihil labore nesciunt ipsam.,reject,1981-08-09 12:15:26,1995-10-06 13:32:53,2024-01-11 04:26:54
