id,type,created_at,updated_at,deleted_at
204f6d3e-b34d-452c-82f4-d213e3d7da9f,kayu,1971-05-01 17:21:13,2016-04-24 21:14:46,2024-05-25 03:46:08
07f513e3-c07e-4128-bf94-9ea3a7a33180,limbah berbahaya,1973-05-04 07:17:53,2021-12-11 13:34:00,2024-05-23 12:49:51
d7c0260b-39cf-4291-a6bf-4528f7f90038,limbah beracun,1983-11-05 04:46:48,2022-10-02 01:00:14,2024-02-18 03:13:51
ba595803-fb2b-45f4-bdfa-2c94d9f39923,kertas,2023-03-24 23:10:24,1984-08-24 03:19:35,2024-01-08 15:44:27
17f20451-6bb4-4697-8dc9-d1013bc0807a,tak terdeteksi,1992-02-04 22:00:55,1993-10-19 09:34:48,2024-04-14 21:49:52
0eaa1a93-6a63-4777-b2ae-9e098d3302ce,sisa makanan,2002-03-05 15:55:00,1992-04-08 22:19:21,2024-01-21 21:49:42
b1289543-9a53-4637-a8f6-ab584ce1ef59,kertas,1998-08-29 10:21:29,2006-02-02 05:40:05,2024-05-18 16:24:19
c7f9b88d-349c-415f-bc52-44f1543d9576,kaca,2016-03-17 14:47:46,1998-08-31 01:08:42,2024-04-21 02:13:48
ddb7cb8b-ab21-4bd8-9a59-650d73bf907d,limbah berbahaya,2016-02-16 12:23:03,1995-04-13 17:44:15,2024-01-08 17:59:30
f3398f4b-673a-4c33-b598-028a70e9b5e3,sisa makanan,1980-01-07 02:41:47,1988-11-17 06:18:58,2024-03-26 03:32:55
d6a5bc97-703b-4fd9-aa62-15ee5856f2b7,kaca,1989-02-18 09:18:08,1997-11-13 03:50:04,2024-02-10 19:36:07
f3c9e8b8-e19a-48ec-aa57-a57c0266ae4a,kertas,2000-05-28 06:50:18,1991-05-21 23:28:24,2024-03-13 06:46:06
c55dcad0-1187-4b44-9269-84477ce508a5,kaca,1984-11-15 10:27:22,2021-01-11 10:33:39,2024-05-31 06:36:26
5002d55e-e3d7-40e7-81aa-738e0742736c,plastik,1993-05-29 09:30:46,1971-04-21 00:56:41,2024-04-01 20:51:41
0d6d435e-e76f-4804-a792-8a11dc8e4b66,limbah beracun,2015-06-11 07:15:02,2024-03-06 21:12:12,2024-05-16 07:05:59
a62b808d-5d3d-427b-bf49-ae3bc0577827,kertas,2006-09-07 03:43:22,2015-03-26 11:32:23,2024-04-14 09:42:27
45d93053-312e-4e3e-b24b-52e675d686ab,tak terdeteksi,1971-08-24 21:24:51,2011-09-10 14:09:50,2024-01-21 15:33:45
cf638192-9dda-490b-8748-cea53963502f,kaca,2005-04-23 23:10:00,2022-11-20 18:03:18,2024-03-14 07:06:04
f77555a1-c836-4e4a-91af-24d2eedbccdf,kertas,2017-12-01 10:57:54,2010-02-12 16:18:38,2024-02-15 22:56:46
13516aa2-8d05-4590-9dc4-e995505aa749,plastik,1975-03-11 02:11:02,2023-03-07 02:22:33,2024-04-30 02:08:32
afc4065e-5652-4cdc-8af7-d6909a5869c2,kertas,1973-04-28 11:25:42,2010-06-03 15:41:21,2024-04-18 21:45:13
4cd6a6f2-012d-4d12-a994-f3465e1cf930,plastik,2005-03-21 08:22:26,1983-02-01 20:35:29,2024-03-13 19:03:08
f73760b0-6250-4c74-b9aa-fa559b61da9c,kertas,1975-04-25 07:56:03,1972-04-14 00:44:32,2024-05-17 13:33:29
5f08f83e-5e05-42f6-a766-e04e759d9b5e,plastik,1998-04-25 12:51:15,2003-08-21 01:12:08,2024-04-09 02:26:07
ee1cfab4-7810-4309-9498-a82bcb6bfea9,limbah berbahaya,1984-11-20 14:15:52,1976-12-10 10:43:30,2024-01-20 09:48:18
35e01c90-fe6f-4f5f-8874-c806ea9850fa,kertas,2000-09-15 21:49:59,1993-08-10 09:09:33,2024-02-07 00:59:58
dae03d9b-658a-4fa1-a5d0-d81d5ead8c88,limbah berbahaya,1992-12-28 23:55:24,1997-05-14 11:49:08,2024-04-05 16:02:57
d2309972-1a09-470a-90bb-a55546f7dcf5,sisa makanan,1979-01-25 08:19:36,1989-02-20 17:27:29,2024-03-27 09:14:47
15a1ee54-a873-4104-b10f-d7d65c0cac6a,kertas,2008-02-14 12:43:55,1989-08-03 08:39:12,2024-03-18 00:23:42
1031012f-0fae-4e7c-abbb-c1b046cf1de0,tak terdeteksi,1984-05-24 09:46:20,1981-01-03 11:00:22,2024-05-23 08:20:44
0c2f6054-447f-4eb0-a660-9254a21ec680,tak terdeteksi,1995-10-04 02:27:54,2003-11-14 11:21:27,2024-01-29 02:49:12
be1cf36a-9253-4b28-b61e-1f8896560e35,kayu,1982-05-03 02:50:01,1981-02-10 09:24:14,2024-01-23 04:49:00
d0e84523-5e65-431a-a25b-183bddb07a37,kayu,1975-12-19 19:02:57,2015-04-11 14:28:14,2024-04-22 17:42:22
51d6cffb-0ce6-4b77-84cd-ed89ba533b73,sisa makanan,2020-06-23 06:45:27,2019-09-09 22:18:29,2024-04-06 18:02:28
1800d353-c8b9-4847-9e9e-fc33b62840a0,baterai,1984-01-01 12:46:51,1972-04-04 09:58:50,2024-04-09 02:25:31
6b6415e5-2692-419c-a68d-3d1210f447a0,kertas,2006-12-30 02:45:47,1976-11-05 20:09:19,2024-03-18 15:11:23
70b92492-ba9e-4b26-8c76-35eb89e4c324,besi,1973-04-15 22:35:25,2012-12-12 04:43:41,2024-05-18 17:16:22
d0b02c61-a832-4433-bd75-70396bca7b1f,kaca,1982-04-08 20:06:35,2023-12-18 11:31:23,2024-03-10 13:10:17
e85e0731-1817-4c55-83c1-e63cefe093a6,baterai,1972-06-20 09:16:17,1989-09-17 15:41:27,2024-03-31 13:23:08
5c2f5ecb-da72-4c0e-a111-1920d8cfd751,kayu,1974-07-05 06:55:10,1996-05-04 04:52:29,2024-03-18 16:01:15
8bcde975-0f08-45b3-bc47-16623a178cf3,baterai,1986-12-08 01:55:26,1977-05-16 19:46:50,2024-04-23 00:42:13
727e1a6b-afa8-4c9f-a393-cab9f5e2fbc3,plastik,1996-07-01 15:15:11,1977-06-04 05:27:46,2024-05-24 07:08:13
7bc3e4b8-df26-4ae1-bb80-699228bac32f,kertas,1991-04-16 11:39:53,2023-06-19 18:44:21,2024-02-02 03:47:58
6e69ebe8-e3d1-4d58-af9c-49145273852a,kertas,2013-05-23 23:06:30,2023-12-07 13:20:33,2024-03-08 13:30:13
84910ba3-fa63-4235-b2fc-a3f5fbd2e839,plastik,2009-07-01 20:13:22,2008-11-28 04:36:54,2024-02-18 06:21:37
a4a6bffd-302b-46e3-bcdc-ba842ecb9dd6,limbah berbahaya,2006-03-06 01:49:11,1986-10-05 23:51:35,2024-03-29 04:02:37
921f0a87-55f5-4d81-b2af-fd3b1327a6a9,limbah berbahaya,1982-07-17 03:51:02,1986-09-25 12:36:35,2024-02-07 06:33:55
3ba0d297-e895-4f36-8c0d-761718e8ee1a,sisa makanan,2020-05-27 12:21:32,1999-07-08 10:13:04,2024-03-07 18:22:18
