id,user_task_challenges_id,user_id,status_accept
TM0001,UT0034,USR0061,need_rivew
TM0001,UT0035,USR0062,need_rivew
TM0001,UT0036,USR0008,need_rivew
TM0001,UT0038,USR0057,accept
TM0001,UT0041,USR0009,need_rivew
TM0001,UT0057,USR0037,need_rivew
TM0001,UT0058,USR0045,need_rivew
TM0001,UT0066,USR0038,need_rivew
TM0001,UT0067,USR0017,need_rivew
TM0007,UT0026,USR0006,need_rivew
TM0008,UT0006,USR0034,reject
TM0008,UT0009,USR0002,need_rivew
TM0008,UT0030,USR0007,need_rivew
TM0008,UT0031,USR0004,need_rivew
TM0008,UT0037,USR0008,need_rivew
TM0008,UT0039,USR0057,reject
TM0008,UT0047,USR0032,need_rivew
TM0008,UT0050,USR0027,need_rivew
TM0008,UT0059,USR0045,need_rivew
TM0008,UT0071,USR0025,reject
TM0009,UT0005,USR0034,accept
TM0009,UT0010,USR0002,need_rivew
TM0009,UT0015,USR0003,need_rivew
TM0009,UT0024,USR0005,need_rivew
TM0009,UT0027,USR0006,need_rivew
TM0010,UT0002,USR0001,need_rivew
TM0010,UT0007,USR0034,need_rivew
TM0010,UT0011,USR0002,need_rivew
TM0010,UT0016,USR0003,accept
TM0010,UT0020,USR0004,accept
TM0010,UT0021,USR0005,reject
TM0010,UT0028,USR0006,need_rivew
TM0010,UT0032,USR0007,reject
TM0011,UT0008,USR0034,need_rivew
TM0011,UT0012,USR0002,need_rivew
TM0011,UT0017,USR0003,need_rivew
TM0011,UT0019,USR0004,accept
TM0011,UT0022,USR0005,need_rivew
TM0011,UT0029,USR0006,need_rivew
TM0011,UT0033,USR0007,accept
TM0011,UT0040,USR0009,need_rivew
TM0011,UT0042,USR0057,accept
TM0011,UT0043,USR0015,need_rivew
TM0011,UT0046,USR0032,need_rivew
TM0011,UT0051,USR0027,need_rivew
TM0011,UT0055,USR0037,need_rivew
TM0011,UT0061,USR0045,need_rivew
TM0015,UT0004,USR0001,need_rivew
TM0015,UT0013,USR0002,need_rivew
TM0015,UT0014,USR0003,need_rivew
TM0015,UT0018,USR0004,accept
TM0015,UT0023,USR0005,accept
TM0017,UT0003,USR0001,need_rivew
TM0018,UT0001,USR0001,reject
TM0023,UT0025,USR0004,need_rivew
TM0027,UT0049,USR0057,need_rivew
TM0027,UT0053,USR0027,need_rivew
TM0027,UT0054,USR0037,need_rivew
TM0027,UT0060,USR0045,need_rivew
TM0027,UT0063,USR0035,need_rivew
TM0027,UT0068,USR0017,need_rivew
TM0027,UT0070,USR0025,reject
