id,waste_material,created_at,updated_at,deleted_at
028b3c7e-fb45-417a-8f67-103d4e600a7f,limbah beracun,2024-06-15 13:03:37.575,2024-06-15 13:03:37.575,
04ad45df-cda8-4319-a5dd-223872e68f07,kaca,2024-06-15 13:03:37.503,2024-06-15 13:03:37.503,
0594eac5-c6bb-43c9-86ee-7fd19c833b33,kertas,2024-06-15 13:03:37.688,2024-06-15 13:03:37.688,
06cc7d48-d03b-4d96-aa16-74496f30af5f,plastik,2024-06-15 13:03:37.845,2024-06-15 13:03:37.845,
07cca3b6-6d2c-431b-ae1b-32addae6ca36,kayu,2024-06-15 13:03:37.730,2024-06-15 13:03:37.730,
08eb7bd0-66dc-4665-b209-3c2adc2f37b7,baterai,2024-06-15 13:03:37.422,2024-06-15 13:03:37.422,
09d69393-a482-4c6a-afa5-1b2737fb1e83,baterai,2024-06-15 13:03:37.749,2024-06-15 13:03:37.749,
09e46599-96c5-40bb-9e68-f8e39fb6198e,kertas,2024-06-18 18:58:45.526,2024-06-18 18:58:45.526,
0e57e4ca-377f-4a48-936e-be71c0fd17b4,kayu,2024-06-15 13:03:37.432,2024-06-15 13:03:37.432,
0f51f5eb-39e4-44f8-ad09-0c7d1d890c29,plastik,2024-06-19 03:32:53.572,2024-06-19 03:32:53.572,
1039a1c1-070f-40b4-8498-c7bdbc94ce51,tak terdeteksi,2024-06-15 13:03:37.863,2024-06-15 13:03:37.863,
11807501-af0e-4ca9-a175-48be721d76ab,baterai,2024-06-15 13:03:37.656,2024-06-15 13:03:37.656,
16d3a174-c23e-402b-add9-6031b429615d,baterai,2024-06-15 13:03:37.794,2024-06-15 13:03:37.794,
178eeb24-a45f-464e-8670-79d54748f704,plastik,2024-06-15 13:03:37.599,2024-06-15 13:03:37.599,
1bce345b-5e18-41e1-b1fd-7d86c1583378,kertas,2024-06-18 19:10:27.759,2024-06-18 19:10:27.759,
1e480d86-21d1-43de-b9cd-f73039a84b2b,plastik,2024-06-18 18:45:01.582,2024-06-18 18:45:01.582,
1f9bcd0f-8667-448e-bd2d-45421bc405a6,kaca,2024-06-18 19:49:56.735,2024-06-18 19:49:56.735,
1f9f02c7-bddf-44fc-8b34-03604236c61b,limbah berbahaya,2024-06-15 13:03:37.761,2024-06-15 13:03:37.761,
20ae0bac-fc47-40ba-90c1-937039f3d3ab,plastik,2024-06-15 13:03:37.664,2024-06-15 13:03:37.664,
22584e3f-2ed2-4a70-9e46-e32c7f30e95c,kertas,2024-06-18 19:00:14.399,2024-06-18 19:00:14.399,
22eb78cb-e150-47c1-a7fa-7edd284c0ac9,besi,2024-06-15 13:03:37.692,2024-06-15 13:03:37.692,
24200848-b716-44ce-8439-a2c7162e9c30,plastik,2024-06-18 19:14:17.765,2024-06-18 19:14:17.765,
2830c966-9591-4c62-a9c7-44fff5e501c1,plastik,2024-06-19 04:20:58.502,2024-06-19 04:20:58.502,
28a79cf8-fa0d-4e92-9b58-81fcbe9ad3e1,plastik,2024-06-18 18:43:30.705,2024-06-18 18:43:30.705,
29229747-ebc8-4ef9-a2f0-7c0efd1e338b,kayu,2024-06-19 02:39:17.272,2024-06-19 02:39:17.272,
29372d78-a6b9-480f-82c1-27485b2ffc78,plastik,2024-06-15 13:03:37.404,2024-06-15 13:03:37.404,
2c336847-1355-46f9-9373-3b52e1d3e713,kertas,2024-06-15 13:03:37.493,2024-06-15 13:03:37.493,
2ca772bb-33fe-4541-be95-b43bfe4ee356,tak terdeteksi,2024-06-15 13:03:37.660,2024-06-15 13:03:37.660,
3174b9c0-e5e4-40d9-9903-90cca7fab3e8,kertas,2024-06-15 13:03:37.506,2024-06-15 13:03:37.506,
319ed66d-670a-47da-850e-adf2057f48c3,tak terdeteksi,2024-06-15 13:03:37.696,2024-06-15 13:03:37.696,
3653d917-009f-401b-9df2-c507aa2e3f45,tak terdeteksi,2024-06-15 13:03:37.815,2024-06-15 13:03:37.815,
36e5d1dc-d9a7-4da4-8c1a-e021dc8b4852,limbah berbahaya,2024-06-15 13:03:37.616,2024-06-15 13:03:37.616,
38648883-64d0-41c8-9e5b-25d5456b2ef3,baterai,2024-06-15 13:03:37.837,2024-06-15 13:03:37.837,
3891ac71-1e25-4d72-8576-1a08b0b08128,plastik,2024-06-15 13:03:37.802,2024-06-15 13:03:37.802,
39070c94-c3dd-4b6d-9a03-55cc693e4500,tak terdeteksi,2024-06-15 13:03:37.534,2024-06-15 13:03:37.534,
39da711d-7545-4c05-afb3-8f5b051b5487,baterai,2024-06-15 13:03:37.620,2024-06-15 13:03:37.620,
3ab01435-9ce3-4c05-b444-19dba84d6551,kertas,2024-06-15 13:03:37.480,2024-06-15 13:03:37.480,
3b633a8c-da6c-40d8-8785-61dfb450e0e5,kayu,2024-06-15 13:03:37.833,2024-06-15 13:03:37.833,
3b82612f-5e98-4396-bf1f-7cd5085ed128,limbah beracun,2024-06-15 13:03:37.579,2024-06-15 13:03:37.579,
3c9cdb8d-53fe-4cc1-bb98-442c1f41eca4,baterai,2024-06-15 13:03:37.515,2024-06-15 13:03:37.515,
3ceff3e2-ec24-4476-aa9b-efd9f73de16a,sisa makanan,2024-06-15 13:03:37.906,2024-06-15 13:03:37.906,
3fbc8b0a-f4fd-4c1d-b93a-4586ba1a5684,sisa makanan,2024-06-15 13:03:37.684,2024-06-15 13:03:37.684,
3ff39a38-5cdd-4220-b9b8-7b58a87c5de8,kayu,2024-06-19 02:31:26.773,2024-06-19 02:31:26.773,
40fb5171-9919-4574-b251-a1b2eb4e72a9,baterai,2024-06-15 13:03:37.680,2024-06-15 13:03:37.680,
41ed9c13-a265-43de-996a-c18371ad1dd5,tak terdeteksi,2024-06-15 13:03:37.894,2024-06-15 13:03:37.894,
4825ff06-d9a6-4ade-b16e-bd8dbe2454ce,kaca,2024-06-15 13:03:37.624,2024-06-15 13:03:37.624,
48aa98b5-b7f9-4df1-bb53-e38f21e70df3,plastik,2024-06-18 19:50:56.517,2024-06-18 19:50:56.517,
4ff5583d-01c0-49ac-a0e2-20eae9fed54f,plastik,2024-06-15 13:03:37.639,2024-06-15 13:03:37.639,
51446d77-6061-48c8-a916-a98b8258a1eb,plastik,2024-06-15 13:03:37.867,2024-06-15 13:03:37.867,
546effea-9b90-4f8a-bcec-5f8f8ed44e09,plastik,2024-06-15 13:03:37.668,2024-06-15 13:03:37.668,
58495c3e-94d7-445d-9cbd-2f05ce0447ed,baterai,2024-06-15 13:03:37.644,2024-06-15 13:03:37.644,
5918a49c-74b1-412a-89f2-4b395cc8aa1d,plastik,2024-06-19 10:52:32.592,2024-06-19 10:52:32.592,
597b41f0-ca79-44f8-bc1c-85dafc40e97d,plastik,2024-06-15 13:03:37.530,2024-06-15 13:03:37.530,
5c909a11-a3ac-4a62-9811-63f8e847c1ec,limbah berbahaya,2024-06-15 13:03:37.465,2024-06-15 13:03:37.465,
5dac6e0d-51a8-4b07-afa8-05e31e7c64c5,plastik,2024-06-15 13:03:37.886,2024-06-15 13:03:37.886,
5ffc4270-fb98-45d5-b31e-3ec5f6fd343c,kayu,2024-06-15 13:03:37.858,2024-06-15 13:03:37.858,
6070116d-4de5-4d4a-b3cb-7e67a25c5ea2,kaca,2024-06-15 13:03:37.726,2024-06-15 13:03:37.726,
6167849c-8809-4651-ab66-8f2913596238,kaca,2024-06-15 13:03:37.538,2024-06-15 13:03:37.538,
62210f3b-4d25-467a-8bfc-a9055b05bf5c,kertas,2024-06-15 13:03:37.758,2024-06-15 13:03:37.758,
6286d5fa-5384-4cbe-9f92-ad00f43e567b,kayu,2024-06-15 13:03:37.414,2024-06-15 13:03:37.414,
640a1bf4-daa8-48f3-8b28-1a874ec03899,kaca,2024-06-19 03:45:36.770,2024-06-19 03:45:36.770,
64fba1d4-afd1-430e-9e4d-0ff0fa0f6658,kaca,2024-06-15 13:03:37.546,2024-06-15 13:03:37.546,
651076ae-c52f-444b-8076-b9a87674c5d0,kertas,2024-06-15 13:03:37.799,2024-06-15 13:03:37.799,
6542f19e-81c8-40ce-b107-b56aff265e6e,kertas,2024-06-15 13:03:37.765,2024-06-15 13:03:37.765,
69b00d0b-2d42-441a-8dcc-5e9af28c5832,baterai,2024-06-15 13:03:37.820,2024-06-15 13:03:37.820,
6ae74a46-9332-45ce-8b0b-cedaa6620440,plastik,2024-06-19 02:39:17.264,2024-06-19 02:39:17.264,
6c35c84b-12cc-477b-9cbc-0302455eb127,kertas,2024-06-15 13:03:37.511,2024-06-15 13:03:37.511,
6d83cd53-f8c0-4ecb-8764-3b53f386a733,limbah berbahaya,2024-06-15 13:03:37.591,2024-06-15 13:03:37.591,
6ee74c24-ede0-4ef4-8bd3-3dae2801f386,kertas,2024-06-15 13:03:37.518,2024-06-15 13:03:37.518,
6fbf9ff7-0229-4f06-b018-70fff0d8061e,sisa makanan,2024-06-15 13:03:37.453,2024-06-15 13:03:37.453,
72646384-3e3c-45a5-8f9f-dbec02b59473,plastik,2024-06-19 04:20:55.469,2024-06-19 04:20:55.469,
7682c2a7-28af-46c4-a932-7270293c374b,limbah beracun,2024-06-15 13:03:37.634,2024-06-15 13:03:37.634,
772e71f5-e77b-48d0-9c60-335b7bb20686,kayu,2024-06-15 13:03:37.469,2024-06-15 13:03:37.469,
77938a8c-da78-4637-a635-7cc2a5cc528c,kertas,2024-06-15 13:03:37.705,2024-06-15 13:03:37.705,
78a025ee-0420-4df3-9fba-1a0765cba708,besi,2024-06-15 13:03:37.595,2024-06-15 13:03:37.595,
7c0d5a12-f072-47d9-a8dd-f12ec206d5b7,plastik,2024-06-15 13:03:37.737,2024-06-15 13:03:37.737,
7d7870cf-c268-4fc1-8559-97a51ed02342,kaca,2024-06-19 02:39:17.268,2024-06-19 02:39:17.268,
7fe2f8db-8ad7-4bc1-bf10-e7f6d1d1ea3a,plastik,2024-06-18 18:54:51.210,2024-06-18 18:54:51.210,
809a78b6-e285-434b-afcb-32e93fbe433f,kaca,2024-06-15 13:03:37.418,2024-06-15 13:03:37.418,
81d0021e-5775-4c40-9b87-672a2b629a43,limbah beracun,2024-06-15 13:03:37.734,2024-06-15 13:03:37.734,
8879e51d-6745-4afc-a58b-03e33cf96599,tak terdeteksi,2024-06-15 13:03:37.461,2024-06-15 13:03:37.461,
8945ff8b-3478-46ff-9174-33cefab0f048,kaca,2024-06-19 04:20:55.474,2024-06-19 04:20:55.474,
8d05636c-5ad7-492a-87d1-a45e6ed49243,baterai,2024-06-15 13:03:37.561,2024-06-15 13:03:37.561,
8d2791f3-30b7-4681-989e-00ecc7cd3ed8,kayu,2024-06-15 13:03:37.583,2024-06-15 13:03:37.583,
8debe17e-7314-4bff-964d-162abac2c80f,kayu,2024-06-15 13:03:37.522,2024-06-15 13:03:37.522,
8f14c3bf-3c57-4e0a-9ad2-5f4ef1b2bc1d,kertas,2024-06-15 13:03:37.741,2024-06-15 13:03:37.741,
8f617144-c038-4c87-80cb-a558b2d5810f,plastik,2024-06-15 13:03:37.773,2024-06-15 13:03:37.773,
8fdd9d08-733a-4e2b-bc5c-1ff439baf14c,plastik,2024-06-18 19:19:08.405,2024-06-18 19:19:08.405,
908d1818-1899-4628-9f32-46e8811978c2,kaca,2024-06-15 13:03:37.753,2024-06-15 13:03:37.753,
9374d4fa-e090-4df0-9921-b290e5899f6f,kertas,2024-06-15 13:03:37.526,2024-06-15 13:03:37.526,
93dae66a-c78f-4e08-86e3-ea16f00c4337,baterai,2024-06-15 13:03:37.841,2024-06-15 13:03:37.841,
951ec595-0cef-4c8d-a08a-b46ca77d488f,plastik,2024-06-19 03:45:37.704,2024-06-19 03:45:37.704,
95f8cacc-2699-4382-a429-604a2a4a8823,plastik,2024-06-19 03:45:36.766,2024-06-19 03:45:36.766,
9616b8ce-333d-4514-90db-3891cedb4b9d,tak terdeteksi,2024-06-15 13:03:37.811,2024-06-15 13:03:37.811,
