id,title,description,start_date,end_date,point,status,created_at,updated_at,deleted_at
TM0001,New Task Update hehe,New Task description,2024-06-04 00:00:00,2024-07-04 00:00:00,100,1,2024-02-24 17:26:52.000,2024-06-20 17:22:41.493,2024-06-22 08:06:51.079
TM0002,Him head sneeze one yourselves life.,Brilliance firstly occasionally. Who occasionally aha.,2024-05-08 01:11:00,2024-05-11 01:11:00,1891,0,2024-03-19 14:39:11.000,2024-06-16 00:00:00.008,
TM0003,Accordingly along crew everything nightly due.,Will then a. In team everyone.,2024-01-03 10:16:00,2024-01-08 10:16:00,966,0,2024-01-01 03:15:46.000,2024-06-16 00:00:00.008,2024-06-20 11:00:28.101
TM0004,Yourselves child mob break those energetic.,There moreover chase. Lots those bravo.,2024-01-13 14:28:14,2024-01-16 14:28:14,955,0,2024-01-09 22:50:31.000,2024-06-16 00:00:00.008,
TM0005,Summation dangerous purely mine once ski.,So far just. May so these.,2024-03-27 19:13:24,2024-04-02 19:13:24,1616,0,2024-02-13 01:44:44.000,2024-06-16 00:00:00.008,
TM0006,Too we is eek within then.,Silence it importance. Significant explode victoriously.,2024-04-16 20:40:34,2024-04-21 20:40:34,2157,0,2024-03-18 13:02:08.000,2024-06-16 00:00:00.008,
TM0007,World Bahamian is may energetic yikes.,Wait those since. Whom his indoors.,2024-05-22 00:00:00,2024-06-12 00:00:00,761,0,2024-03-18 04:54:34.000,2024-06-19 16:29:07.901,
TM0008,A often outside crew work ostrich.,What trip her. Without troupe those. tes,2024-04-23 00:00:00,2024-06-27 00:00:00,1161,1,2024-01-09 14:20:23.000,2024-06-19 16:29:39.437,
TM0009,Then we this you yourselves that.,What dive that. Myself ours comb.,2024-01-05 00:00:00,2024-06-11 00:00:00,588,0,2024-01-01 21:56:06.000,2024-06-19 16:48:38.455,
TM0010,Team then this all did comfort.,Hey below from. Someone toes instead.,2024-05-23 00:00:00,2024-06-13 00:00:00,680,0,2024-02-13 03:39:25.000,2024-06-20 09:57:39.580,2024-06-20 09:57:59.391
TM0011,Somebody hand substantial today to it,Usually as this. Afghan before a.,2024-04-01 00:00:00,2024-06-28 00:00:00,400,1,2024-03-10 10:34:27.000,2024-06-20 13:23:10.185,2024-06-24 02:41:58.279
TM0012,Purple yearly her over their dress.,Instance eek recognise. Frock myself thing.,2024-05-01 14:05:14,2024-05-03 14:05:14,489,0,2024-01-17 02:35:47.000,2024-06-16 00:00:00.008,2024-06-16 11:41:22.336
TM0013,Off whose you bones it here.,This just catalog. Nest himself which.,2024-02-03 00:21:06,2024-02-05 00:21:06,1775,0,2024-01-26 22:13:24.000,2024-06-16 00:00:00.008,2024-06-16 11:38:23.169
TM0014,Huh any yesterday team brush itself.,Nervously sleep it. Brave rapidly whomever.,2024-04-14 22:01:16,2024-04-21 22:01:16,1664,0,2024-03-20 08:27:41.000,2024-06-16 00:00:00.008,2024-06-16 11:38:11.959
TM0015,Recently her labour whom.,May yikes work. Swiss who conclude.,2024-06-25 00:00:00,2024-06-24 00:00:00,600,1,2024-05-12 21:27:57.000,2024-06-16 11:50:50.960,2024-06-19 14:24:19.487
TM0016,Yell me head secondly always now.,Our those on. E.g. ours ouch.,2024-04-21 21:17:03,2024-04-28 21:17:03,1037,1,2024-04-15 05:42:01.000,2024-06-15 13:03:34.201,2024-06-15 13:40:04.800
TM0017,Those shall that has are within.,Effect limp build. Regiment where where.,2024-03-06 10:35:50,2024-03-10 10:35:50,1012,0,2024-01-17 16:53:07.000,2024-06-16 00:00:00.008,2024-06-16 11:38:01.484
TM0018,Without you its those obnoxious speed.,Kiss recently do. Deeply Alpine an.,2024-01-01 00:00:00,2024-07-14 00:00:00,842,0,2024-01-01 08:22:31.000,2024-06-16 06:48:29.628,2024-06-16 07:08:54.127
TM0019,Last tomorrow yours idea to each.,Annually some with. All elsewhere those.,2024-06-11 13:19:14,2024-06-15 13:19:14,1292,1,2024-02-18 17:54:54.000,2024-06-15 13:03:34.212,2024-06-15 13:39:04.009
TM0020,Which do stagger how still rarely.,Yet yours yet. Below now this.,2024-01-12 17:33:27,2024-01-14 17:33:27,2315,1,2024-01-02 14:19:44.000,2024-06-15 13:03:34.216,2024-06-15 13:37:23.855
TM0023,Mengumpulkan sampah botol plastik,"Ikuti tantangan ""Bersih Bumi"" dengan mengumpulkan botol plastik di sekitar Anda. Kumpulkan sebanyak mungkin dalam satu bulan untuk mengurangi polusi dan menjaga kebersihan lingkungan. Peserta dengan jumlah botol terbanyak akan mendapatkan hadiah spesial. Ayo, tunjukkan kepedulian kita terhadap lingkungan!",2024-06-10 00:00:00,2024-06-15 00:00:00,1000,0,2024-06-19 13:48:14.495,2024-06-19 16:28:45.755,2024-06-20 07:05:37.289
TM0024,Temukan sampah botol plastik,"Ikuti tantangan ""Bersih Bumi"" dengan mengumpulkan botol plastik di sekitar Anda. Kumpulkan sebanyak mungkin dalam satu bulan untuk mengurangi polusi dan menjaga kebersihan lingkungan. Peserta dengan jumlah botol terbanyak akan mendapatkan hadiah spesial. Ayo, tunjukkan kepedulian kita terhadap lingkungan!",2024-06-01 00:00:00,2024-06-18 00:00:00,1000,0,2024-06-20 09:56:52.746,2024-06-20 09:58:30.859,2024-06-20 09:58:40.100
TM0027,Mencari Sampah Menumpuk,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc vel tempus quam. Quisque feugiat tortor purus, ut interdum tellus ornare vel. Pellentesque ac ex a ex accumsan convallis et ut dolor. Mauris magna ligula, pulvinar id augue sit amet, efficitur blandit nisi. Cras condimentum lorem ex, non efficitur leo euismod eu. Cras egestas mauris quis tortor porttitor egestas. Praesent eleifend commodo ligula, id fermentum lectus tincidunt et. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse facilisis vitae nulla quis mattis. Duis ut neque diam. Nam lobortis efficitur convallis. Aliquam ligula ligula, rhoncus in dictum in, congue non magna.",2024-06-21 00:00:00,2024-06-23 00:00:00,400,0,2024-06-21 16:57:16.126,2024-06-24 04:18:08.280,
TM0031,Daur Ulang Botol Plastik,Kumpulkan dan daur ulang botol plastik di lingkungan sekitar Anda.,2024-06-24 00:00:00,2024-07-01 00:00:00,10,1,2024-06-24 02:54:11.924,2024-06-24 02:57:31.013,
TM0032,Daur Ulang Kertas Bekas,Kumpulkan kertas bekas dan daur ulang untuk mengurangi limbah.,2024-06-24 00:00:00,2024-07-01 00:00:00,10,1,2024-06-24 02:54:13.527,2024-06-24 02:54:13.527,
TM0033,Kompos Sampah Organik,Buat kompos dari sampah organik untuk mengurangi limbah rumah tangga.,2024-06-24 00:00:00,2024-07-01 00:00:00,10,1,2024-06-24 02:54:15.210,2024-06-24 02:54:15.210,
TM0034,Daur Ulang Kaca,Kumpulkan kaca bekas dan daur ulang untuk mengurangi limbah.,2024-06-24 00:00:00,2024-07-01 00:00:00,10,1,2024-06-24 02:54:17.137,2024-06-24 02:54:17.137,
TM0035,Pengurangan Penggunaan Plastik,Kurangi penggunaan plastik dengan menggunakan barang-barang yang dapat digunakan kembali.,2024-06-24 00:00:00,2024-07-01 00:00:00,10,1,2024-06-24 02:54:18.478,2024-06-24 02:54:18.478,
TM0036,Daur Ulang Aluminium,Kumpulkan aluminium bekas dan daur ulang untuk mengurangi limbah.,2024-06-24 00:00:00,2024-07-01 00:00:00,10,1,2024-06-24 02:54:19.816,2024-06-24 02:54:19.816,
TM0037,Daur Ulang Elektronik,Kumpulkan barang elektronik bekas dan daur ulang dengan benar.,2024-06-24 00:00:00,2024-07-01 00:00:00,10,1,2024-06-24 02:54:21.892,2024-06-24 02:54:21.892,
TM0038,Pilah Sampah di Rumah,Pisahkan sampah rumah tangga menjadi sampah organik dan anorganik.,2024-06-24 00:00:00,2024-07-01 00:00:00,10,1,2024-06-24 02:54:23.497,2024-06-24 02:54:23.497,
TM0039,Daur Ulang Pakaian Bekas,Kumpulkan pakaian bekas yang masih layak pakai dan donasikan atau daur ulang.,2024-06-24 00:00:00,2024-07-01 00:00:00,10,1,2024-06-24 02:54:24.889,2024-06-24 02:54:24.889,
