id,status_progress,status_accept,point,reason,accepted_at,created_at,updated_at,deleted_at
UT0001,in_progress,reject,0,task belum kelar,2024-06-15 14:07:14,2024-06-15 14:07:13.863,2024-06-20 11:00:26.870,
UT0002,in_progress,need_rivew,0,No reason provided,2024-06-15 16:53:09,2024-06-15 16:53:08.910,2024-06-15 16:53:08.910,
UT0003,in_progress,need_rivew,0,No reason provided,2024-06-15 16:58:23,2024-06-15 16:58:23.310,2024-06-15 16:58:23.310,
UT0004,in_progress,need_rivew,0,No reason provided,2024-06-16 01:45:44,2024-06-16 01:45:43.922,2024-06-16 01:45:43.922,
UT0005,done,accept,588,No reason provided,2024-06-18 15:31:19,2024-06-18 13:42:58.948,2024-06-18 15:31:19.353,
UT0006,done,reject,1161,Task belum selesai,2024-06-18 14:24:57,2024-06-18 14:24:57.309,2024-06-19 02:09:45.920,
UT0007,in_progress,need_rivew,0,No reason provided,2024-06-18 15:35:56,2024-06-18 15:35:56.340,2024-06-18 15:35:56.340,
UT0008,in_progress,need_rivew,0,No reason provided,2024-06-18 15:48:05,2024-06-18 15:48:04.781,2024-06-18 15:48:04.781,
UT0009,in_progress,need_rivew,0,No reason provided,2024-06-18 16:44:24,2024-06-18 16:44:24.285,2024-06-18 16:44:24.285,
UT0010,in_progress,need_rivew,0,No reason provided,2024-06-18 16:51:21,2024-06-18 16:51:20.523,2024-06-18 16:51:20.523,
UT0011,in_progress,need_rivew,0,No reason provided,2024-06-18 16:55:40,2024-06-18 16:55:39.736,2024-06-18 16:55:39.736,
UT0012,in_progress,need_rivew,0,No reason provided,2024-06-19 04:13:18,2024-06-19 04:13:18.074,2024-06-19 04:13:18.074,
UT0013,in_progress,need_rivew,0,No reason provided,2024-06-19 04:48:41,2024-06-19 04:48:41.098,2024-06-19 04:48:41.098,
UT0014,in_progress,need_rivew,0,No reason provided,2024-06-19 04:51:21,2024-06-19 04:51:20.677,2024-06-19 04:51:20.677,
UT0015,in_progress,need_rivew,0,No reason provided,2024-06-19 04:53:42,2024-06-19 04:53:42.259,2024-06-19 04:53:42.259,
UT0016,done,accept,680,No reason provided,2024-06-21 04:00:53,2024-06-19 04:59:25.062,2024-06-21 04:00:52.656,
UT0017,in_progress,need_rivew,0,No reason provided,2024-06-19 06:38:11,2024-06-19 06:38:10.893,2024-06-19 06:38:10.893,
UT0018,done,accept,600,No reason provided,2024-06-19 11:13:45,2024-06-19 06:43:01.951,2024-06-19 11:13:45.362,
UT0019,done,accept,400,No reason provided,2024-06-19 12:32:52,2024-06-19 07:24:53.562,2024-06-19 12:32:52.305,
UT0020,done,accept,680,Tes belum selesai,2024-06-20 09:45:26,2024-06-19 11:48:38.626,2024-06-20 09:45:26.488,
UT0021,done,reject,680,Maaf task kamu ada yang belum selesai :(,2024-06-19 12:02:07,2024-06-19 12:02:07.476,2024-06-20 09:45:46.519,
UT0022,in_progress,need_rivew,0,No reason provided,2024-06-19 12:55:01,2024-06-19 12:55:01.313,2024-06-19 12:55:01.313,
UT0023,done,accept,600,No reason provided,2024-06-20 12:06:06,2024-06-19 13:04:01.260,2024-06-20 12:06:05.845,
UT0024,in_progress,need_rivew,0,No reason provided,2024-06-19 14:21:11,2024-06-19 14:21:10.674,2024-06-19 14:21:10.674,
UT0025,done,need_rivew,1000,No reason provided,2024-06-19 14:56:01,2024-06-19 14:56:01.455,2024-06-19 14:57:34.293,
UT0026,in_progress,need_rivew,0,No reason provided,2024-06-19 16:25:02,2024-06-19 16:25:01.748,2024-06-19 16:25:01.748,
UT0027,in_progress,need_rivew,0,No reason provided,2024-06-19 16:26:59,2024-06-19 16:26:59.323,2024-06-19 16:26:59.323,
UT0028,in_progress,need_rivew,0,No reason provided,2024-06-19 16:28:24,2024-06-19 16:28:23.918,2024-06-19 16:28:23.918,
UT0029,in_progress,need_rivew,0,No reason provided,2024-06-19 16:29:48,2024-06-19 16:29:47.867,2024-06-19 16:29:47.867,
UT0030,done,need_rivew,1161,No reason provided,2024-06-19 16:37:40,2024-06-19 16:37:39.554,2024-06-19 16:43:35.407,
UT0031,done,need_rivew,1161,No reason provided,2024-06-19 16:49:48,2024-06-19 16:49:48.254,2024-06-19 17:01:19.401,
UT0032,done,reject,680,does not complete the requirements,2024-06-20 00:09:27,2024-06-20 00:09:26.780,2024-06-20 09:59:30.057,
UT0033,done,accept,400,No reason provided,2024-06-20 09:59:11,2024-06-20 00:29:33.352,2024-06-20 09:59:11.156,
UT0034,in_progress,need_rivew,0,No reason provided,2024-06-20 11:22:40,2024-06-20 11:22:40.218,2024-06-20 11:22:40.218,
UT0035,in_progress,need_rivew,0,No reason provided,2024-06-20 17:22:39,2024-06-20 17:22:38.674,2024-06-20 17:22:38.674,
UT0036,in_progress,need_rivew,0,No reason provided,2024-06-20 17:30:39,2024-06-20 17:30:39.204,2024-06-20 17:30:39.204,
UT0037,done,need_rivew,1161,No reason provided,2024-06-20 17:47:05,2024-06-20 17:47:05.133,2024-06-20 18:22:12.756,
UT0038,done,accept,100,No reason provided,2024-06-21 02:05:29,2024-06-21 01:59:11.916,2024-06-21 02:05:28.960,
UT0039,done,reject,1161,data tidak jelas,2024-06-21 02:15:31,2024-06-21 02:15:31.005,2024-06-21 09:31:37.167,
UT0040,done,need_rivew,400,No reason provided,2024-06-21 03:08:49,2024-06-21 03:08:49.251,2024-06-21 06:02:33.345,
UT0041,done,need_rivew,100,No reason provided,2024-06-21 06:10:49,2024-06-21 06:10:48.605,2024-06-21 10:17:37.711,
UT0042,done,accept,400,No reason provided,2024-06-21 09:31:16,2024-06-21 06:35:10.578,2024-06-21 09:31:16.483,
UT0043,in_progress,need_rivew,0,No reason provided,2024-06-21 09:12:16,2024-06-21 09:12:16.461,2024-06-21 09:12:16.461,
UT0044,in_progress,need_rivew,0,No reason provided,2024-06-21 10:18:34,2024-06-21 10:18:33.976,2024-06-21 10:18:33.976,
UT0045,done,need_rivew,400,No reason provided,2024-06-21 12:38:01,2024-06-21 12:38:00.579,2024-06-21 12:42:20.910,
UT0046,in_progress,need_rivew,0,No reason provided,2024-06-21 13:07:48,2024-06-21 13:07:48.176,2024-06-21 13:07:48.176,
UT0047,in_progress,need_rivew,0,No reason provided,2024-06-21 13:27:41,2024-06-21 13:27:41.160,2024-06-21 13:27:41.160,
UT0048,done,need_rivew,400,No reason provided,2024-06-21 15:45:57,2024-06-21 15:45:57.291,2024-06-21 15:48:47.388,
UT0049,done,need_rivew,400,No reason provided,2024-06-21 17:11:08,2024-06-21 17:11:08.194,2024-06-22 07:37:03.990,
UT0050,done,need_rivew,1161,No reason provided,2024-06-22 06:45:27,2024-06-22 06:45:27.466,2024-06-22 06:48:39.002,
UT0051,done,need_rivew,400,No reason provided,2024-06-22 06:49:06,2024-06-22 06:49:06.147,2024-06-22 06:49:55.573,
UT0052,done,need_rivew,400,No reason provided,2024-06-22 06:51:29,2024-06-22 06:51:28.698,2024-06-22 06:52:05.687,
UT0053,done,need_rivew,400,No reason provided,2024-06-22 06:54:27,2024-06-22 06:54:26.561,2024-06-22 06:55:08.202,
UT0054,done,need_rivew,400,No reason provided,2024-06-22 07:02:12,2024-06-22 07:02:12.167,2024-06-22 07:02:50.178,
UT0055,done,need_rivew,400,No reason provided,2024-06-22 07:03:08,2024-06-22 07:03:07.596,2024-06-22 07:03:43.164,
UT0056,done,need_rivew,400,No reason provided,2024-06-22 07:05:46,2024-06-22 07:05:46.405,2024-06-22 07:06:14.015,
UT0057,done,need_rivew,100,No reason provided,2024-06-22 07:06:59,2024-06-22 07:06:58.785,2024-06-22 07:07:17.344,
UT0058,done,need_rivew,100,No reason provided,2024-06-22 07:12:29,2024-06-22 07:12:29.115,2024-06-22 07:12:48.652,
UT0059,done,need_rivew,1161,No reason provided,2024-06-22 07:13:10,2024-06-22 07:13:10.256,2024-06-22 07:13:36.729,
UT0060,done,need_rivew,400,No reason provided,2024-06-22 07:13:57,2024-06-22 07:13:56.765,2024-06-22 07:14:57.615,
UT0061,done,need_rivew,400,No reason provided,2024-06-22 07:16:19,2024-06-22 07:16:18.523,2024-06-22 07:16:42.608,
UT0062,done,need_rivew,400,No reason provided,2024-06-22 07:17:40,2024-06-22 07:17:39.507,2024-06-22 07:17:56.806,
