id,category,title,description,created_at,updated_at,deleted_at
ABS01,perusahaan,Tentang siapa kami,RecyThing adalah pemimpin di industri daur ulang sampah yang berkomitmen untuk menjaga lingkungan hidup yang lebih bersih dan lebih berkelanjutan.,2024-06-15 13:03:33.682,2024-06-15 13:03:33.682,
ABS02,perusahaan,Visi Kami,Menciptakan masyarakat yang sadar lingkungan di mana setiap individu berperan aktif dalam melestarikan bumi kita.,2024-06-15 13:03:33.687,2024-06-15 13:03:33.687,
ABS03,perusahaan,Komitmen Kami,Prioritaskan penggunaan teknologi terbaru dan praktik terbaik dalam proses daur ulang untuk mengurangi dampak lingkungan.,2024-06-15 13:03:33.692,2024-06-15 13:03:33.692,
ABS04,perusahaan,Pelayanan Pelanggan Unggul,Tim ahli yang berpengalaman memberikan solusi tepat dan responsif sesuai dengan kebutuhan klien.,2024-06-15 13:03:33.696,2024-06-15 13:03:33.696,
ABS05,perusahaan,Pendidikan Masyarakat,Berperan aktif dalam mendidik masyarakat tentang pentingnya daur ulang dan pengelolaan limbah yang berkelanjutan.,2024-06-15 13:03:33.700,2024-06-15 13:03:33.700,
ABS06,tim,Tim UI/UX,Tim UI/UX kami adalah kekuatan kreatif yang memastikan RecyThing intuitif dan ramah pengguna. Mereka berdedikasi untuk merancang interaksi yang mulus dan interface yang menarik secara visual untuk meningkatkan pengalaman pengguna. Komitmen mereka dalam memahami kebutuhan pengguna mendorong perbaikan berkelanjutan dari desain aplikasi kami.,2024-06-15 13:03:33.704,2024-06-15 13:03:33.704,
ABS07,tim,Tim Mobile,"Tim Mobile Development kami membawa RecyThing ke genggaman Anda. Mereka berspesialisasi dalam menciptakan aplikasi mobile yang mulus dan responsif. Keahlian mereka memastikan bahwa aplikasi kami berfungsi dengan sempurna di berbagai perangkat, memberikan pengguna alat yang andal dan efisien untuk kebutuhan daur ulang mereka.",2024-06-15 13:03:33.709,2024-06-15 13:03:33.709,
ABS08,tim,Tim Front End,Tim Front-End Development kami bertanggung jawab untuk menerjemahkan desain kami menjadi interface yang fungsional. Mereka bekerja dengan teknologi web terbaru untuk menciptakan pengalaman pengguna yang cepat dan menarik. Perhatian mereka terhadap detail memastikan bahwa setiap aspek aplikasi konsisten secara visual dan beroperasi dengan lancar.,2024-06-15 13:03:33.714,2024-06-15 13:03:33.714,
ABS09,tim,Tim Back End,"Tim Back-End kami membangun infrastruktur kuat yang mendukung RecyThing. Mereka mengembangkan dan memelihara logika sisi server, basis data, dan integrasi yang memastikan aplikasi kami berjalan efisien dan aman. Pekerjaan mereka menjamin bahwa data pengguna ditangani dengan sangat hati-hati dan bahwa kinerja aplikasi tetap optimal.",2024-06-15 13:03:33.718,2024-06-15 13:03:33.718,
ABS10,tim,Tim Data Engineer,"Tim Data Engineer di RecyThing memanfaatkan kekuatan data untuk mendorong pengambilan keputusan yang terinformasi. Mereka mengelola pengumpulan, pemrosesan, dan analisis data untuk mengoptimalkan solusi daur ulang kami. Wawasan mereka membantu kami memahami perilaku pengguna, meningkatkan layanan kami, dan berkontribusi pada masa depan yang lebih berkelanjutan.",2024-06-15 13:03:33.722,2024-06-15 13:03:33.722,
ABS11,tim,Tim Quality Engineer,"Tim Quality Engineer kami berkomitmen untuk menjaga standar tertinggi dalam hal keandalan dan kinerja. Mereka melakukan pengujian yang ketat untuk mengidentifikasi dan menyelesaikan masalah apa pun, memastikan bahwa aplikasi kami kuat dan aman. Dedikasi mereka terhadap jaminan kualitas memastikan bahwa RecyThing memberikan pengalaman yang mulus dan bebas hambatan bagi semua pengguna.",2024-06-15 13:03:33.725,2024-06-15 13:03:33.725,
ABS12,contact_us,Hubungi Kami,"Jika Anda memiliki pertanyaan, masukan, atau ingin bermitra dengan kami, jangan ragu untuk menghubungi tim kami. Kami siap membantu Anda dengan segala kebutuhan terkait daur ulang dan pengelolaan limbah.",2024-06-15 13:03:33.730,2024-06-15 13:03:33.730,
ABS13,contact_us,Alamat Kantor,"Recything
Jalan Mangga Dua
Jakarta Pusat, 20012
Indonesia",2024-06-15 13:03:33.739,2024-06-15 13:03:33.739,
ABS14,contact_us,Jam Operasional,Senin-Jumat: 08.00 - 17.00 WIB,2024-06-15 13:03:33.743,2024-06-15 13:03:33.743,
ABS15,contact_us,Telepon,+6289511223344,2024-06-15 13:03:33.747,2024-06-15 13:03:33.747,
ABS16,contact_us,Social Media,"Facebook: https://facebook.com/recything
Twitter: https://x.com/recything
Instagram: https://instagram.com/recything
Linkedin: https://linkedin.com/recything",2024-06-15 13:03:33.751,2024-06-15 13:03:33.751,
