id,about_us_id,name,image_url,created_at,updated_at,deleted_at
ABSI01,ABS01,Unknown,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/kan9fdnp7h6o4hfclghm.png,2024-06-15 13:03:33.756,2024-06-15 13:03:33.756,
ABSI02,ABS05,Unknown,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758301/recything/about-us/spgrokvm9un0yq5zsycn.png,2024-06-15 13:03:33.760,2024-06-15 13:03:33.760,
ABSI03,ABS05,Unknown,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758301/recything/about-us/tynymzulgmkwiqu4a7mb.png,2024-06-15 13:03:33.766,2024-06-15 13:03:33.766,
ABSI04,ABS06,Hadyan Alhafizh,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/uiux-1.png,2024-06-15 13:03:33.770,2024-06-15 13:03:33.770,
ABSI05,ABS06,Leonita Puteri Kurniawan,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/uiux-2.png,2024-06-15 13:03:33.774,2024-06-15 13:03:33.774,
ABSI06,ABS06,Afni Kurnia Herawati,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/uiux-3.png,2024-06-15 13:03:33.778,2024-06-15 13:03:33.778,
ABSI07,ABS06,Adillah Bulan Suci,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/uiux-4.png,2024-06-15 13:03:33.782,2024-06-15 13:03:33.782,
ABSI08,ABS06,Ana Nestania,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/uiux-5.png,2024-06-15 13:03:33.786,2024-06-15 13:03:33.786,
ABSI09,ABS06,Addina Khairinisa,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/uiux-6.png,2024-06-15 13:03:33.790,2024-06-15 13:03:33.790,
ABSI10,ABS07,Aulia Heppy Cahya S.,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/mobile-1.png,2024-06-15 13:03:33.794,2024-06-15 13:03:33.794,
ABSI11,ABS07,Fadhl Al-Hafizh,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/mobile-2.png,2024-06-15 13:03:33.798,2024-06-15 13:03:33.798,
ABSI12,ABS07,Zulfan Faizun Nazib,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/mobile-3.png,2024-06-15 13:03:33.802,2024-06-15 13:03:33.802,
ABSI13,ABS07,Muhammad Maulana Givari,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/mobile-4.png,2024-06-15 13:03:33.806,2024-06-15 13:03:33.806,
ABSI14,ABS07,Aflah Alifuna M. R.,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/mobile-5.png,2024-06-15 13:03:33.811,2024-06-15 13:03:33.811,
ABSI15,ABS08,Nauval Fahreza Attamimi,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/frontend-1.png,2024-06-15 13:03:33.814,2024-06-15 13:03:33.814,
ABSI16,ABS08,Yohannes Rahul Rafael,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/frontend-2.png,2024-06-15 13:03:33.818,2024-06-15 13:03:33.818,
ABSI17,ABS08,Naufal Yusuf Fauzan,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/frontend-3.png,2024-06-15 13:03:33.822,2024-06-15 13:03:33.822,
ABSI18,ABS08,Novia Dwi Lestari,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/frontend-4.png,2024-06-15 13:03:33.826,2024-06-15 13:03:33.826,
ABSI19,ABS09,Muhammad Shahwal R. B,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/backend-1.png,2024-06-15 13:03:33.831,2024-06-15 13:03:33.831,
ABSI20,ABS09,Markus Rabin Ronaldo,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/backend-2.png,2024-06-15 13:03:33.835,2024-06-15 13:03:33.835,
ABSI21,ABS10,Yazid Ahmad Hisyam,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/data-1.png,2024-06-15 13:03:33.839,2024-06-15 13:03:33.839,
ABSI22,ABS10,Daffa Alfahryan Syuja Syaehu,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/data-2.png,2024-06-15 13:03:33.843,2024-06-15 13:03:33.843,
ABSI23,ABS10,Afril Istihawa,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/data-3.png,2024-06-15 13:03:33.848,2024-06-15 13:03:33.848,
ABSI24,ABS11,Ismy Fana Fillah,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/quality-1.png,2024-06-15 13:03:33.853,2024-06-15 13:03:33.853,
ABSI25,ABS11,Ardelia Syahira Yudiva,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1718207346/recything/about-us/tim/quality-2.png,2024-06-15 13:03:33.856,2024-06-15 13:03:33.856,
ABSI26,ABS12,Unknown,https://res.cloudinary.com/dlbbsdd3a/image/upload/v1717758300/recything/about-us/mfi5xij2xssmztqwaybz.png,2024-06-15 13:03:33.861,2024-06-15 13:03:33.861,
