id,category,question,answer,created_at,updated_at,deleted_at
FAQ01,profil,Bagaimana cara saya memperbarui informasi profil saya?,"Anda dapat memperbarui informasi profil Anda melalui menu 'Pengaturan Profil' di aplikasi. Klik ikon profil, pilih 'Pengaturan', dan edit informasi yang diperlukan.",2024-06-15 13:03:33.867,2024-06-15 13:03:33.867,
FAQ02,profil,Apakah saya bisa mengubah alamat email yang sudah terdaftar?,"Ya, Anda bisa mengubah alamat email Anda melalui menu 'Pengaturan Profil'. Namun, Anda mungkin perlu memverifikasi alamat email baru Anda.",2024-06-15 13:03:33.871,2024-06-15 13:03:33.871,
FAQ03,profil,Bagaimana cara mengganti foto profil saya?,"Untuk mengganti foto profil, buka 'Profil Saya', klik pada foto profil Anda saat ini, dan pilih foto baru dari galeri atau ambil foto baru dengan kamera.",2024-06-15 13:03:33.875,2024-06-15 13:03:33.875,
FAQ04,littering,Bagaimana cara melaporkan sampah yang tidak pada tempatnya?,"Anda dapat melaporkan sampah yang tidak pada tempatnya melalui fitur 'Laporkan Sampah' di aplikasi. Ambil foto sampah tersebut, tambahkan deskripsi singkat, dan kirim laporan Anda.",2024-06-15 13:03:33.879,2024-06-15 13:03:33.879,
FAQ05,littering,Apakah ada sanksi bagi yang membuang sampah sembarangan?,"Ya, sesuai dengan peraturan daerah, membuang sampah sembarangan dapat dikenakan denda atau sanksi lainnya. Silakan cek peraturan lokal untuk detailnya.",2024-06-15 13:03:33.883,2024-06-15 13:03:33.883,
FAQ06,littering,Apa yang terjadi setelah saya melaporkan sampah?,"Setelah Anda melaporkan sampah, tim kami akan memverifikasi laporan tersebut dan mengkoordinasikan pembersihan dengan pihak berwenang setempat.",2024-06-15 13:03:33.888,2024-06-15 13:03:33.888,
FAQ07,rubbish,Apa saja jenis-jenis sampah yang dapat didaur ulang?,"Jenis sampah yang dapat didaur ulang termasuk plastik, kertas, kaca, dan logam. Pastikan untuk memisahkan sampah sesuai kategori sebelum mendaur ulang.",2024-06-15 13:03:33.892,2024-06-15 13:03:33.892,
FAQ08,rubbish,Bagaimana cara memisahkan sampah dengan benar?,"Pisahkan sampah berdasarkan jenisnya - organik, anorganik, dan berbahaya. Gunakan tempat sampah yang berbeda untuk setiap kategori untuk mempermudah proses daur ulang.",2024-06-15 13:03:33.897,2024-06-15 13:03:33.897,
FAQ09,rubbish,Apa yang dimaksud dengan sampah organik?,"Sampah organik adalah sampah yang berasal dari bahan-bahan alami yang dapat terurai, seperti sisa makanan, daun, dan potongan kayu.",2024-06-15 13:03:33.900,2024-06-15 13:03:33.900,
FAQ10,misi,Bagaimana cara berpartisipasi dalam misi kebersihan?,Anda dapat berpartisipasi dalam misi kebersihan dengan mendaftar melalui aplikasi di bagian 'Misi'. Pilih misi yang tersedia dan ikuti instruksi yang diberikan.,2024-06-15 13:03:33.905,2024-06-15 13:03:33.905,
FAQ11,misi,Apa saja manfaat mengikuti misi kebersihan?,"Manfaat mengikuti misi kebersihan termasuk mendapatkan poin dan level, membantu menjaga lingkungan, dan berkesempatan memenangkan penghargaan.",2024-06-15 13:03:33.909,2024-06-15 13:03:33.909,
FAQ12,misi,Bagaimana cara menyelesaikan misi dan mendapatkan poin?,"Untuk menyelesaikan misi, ikuti semua instruksi yang diberikan dan laporkan hasil kerja Anda melalui aplikasi. Poin akan diberikan berdasarkan kontribusi Anda.",2024-06-15 13:03:33.913,2024-06-15 13:03:33.913,
FAQ13,lokasi sampah,Bagaimana cara menemukan tempat sampah terdekat?,Anda dapat menemukan tempat sampah terdekat menggunakan fitur 'Cari Tempat Sampah' di aplikasi. Aplikasi akan menunjukkan lokasi tempat sampah di peta.,2024-06-15 13:03:33.917,2024-06-15 13:03:33.917,
FAQ14,lokasi sampah,Apa yang harus saya lakukan jika tidak menemukan tempat sampah di sekitar saya?,"Jika Anda tidak menemukan tempat sampah di sekitar Anda, simpan sampah Anda sampai Anda menemukan tempat yang sesuai untuk membuangnya atau laporkan kebutuhan tempat sampah baru melalui aplikasi.",2024-06-15 13:03:33.921,2024-06-15 13:03:33.921,
FAQ15,lokasi sampah,Apakah lokasi tempat sampah di aplikasi selalu diperbarui?,"Ya, kami berusaha untuk selalu memperbarui lokasi tempat sampah di aplikasi berdasarkan laporan pengguna dan data dari pihak berwenang setempat.",2024-06-15 13:03:33.926,2024-06-15 13:03:33.926,
FAQ16,poin dan level,Bagaimana cara mendapatkan poin?,"Anda bisa mendapatkan poin dengan menyelesaikan misi, melaporkan sampah, dan berpartisipasi dalam kegiatan kebersihan. Poin akan otomatis ditambahkan ke akun Anda.",2024-06-15 13:03:33.930,2024-06-15 13:03:33.930,
FAQ17,poin dan level,Apa yang bisa saya lakukan dengan poin yang saya kumpulkan?,"Poin yang Anda kumpulkan bisa ditukar dengan berbagai hadiah, diskon, atau digunakan untuk meningkatkan level akun Anda dalam aplikasi.",2024-06-15 13:03:33.935,2024-06-15 13:03:33.935,
FAQ18,poin dan level,Bagaimana cara meningkatkan level saya?,Tingkatkan level Anda dengan mengumpulkan poin dari berbagai aktivitas dalam aplikasi. Setiap level baru memberikan akses ke fitur dan penghargaan tambahan.,2024-06-15 13:03:33.939,2024-06-15 13:03:33.939,
