id,user_task_challenge_id,task_step_id,completed,created_at,updated_at,deleted_at
1,UT0001,60,1,2024-06-15 14:07:13.864,2024-06-16 03:25:28.790,
2,UT0001,61,1,2024-06-15 14:07:13.865,2024-06-16 06:18:49.441,
3,UT0001,62,1,2024-06-15 14:07:13.867,2024-06-16 06:24:01.198,
4,UT0002,32,1,2024-06-15 16:53:08.911,2024-06-16 06:37:55.764,
5,UT0002,33,1,2024-06-15 16:53:08.912,2024-06-16 06:38:41.787,
6,UT0002,34,1,2024-06-15 16:53:08.913,2024-06-16 06:40:12.919,
7,UT0002,35,1,2024-06-15 16:53:08.914,2024-06-16 06:43:14.541,
8,UT0003,56,1,2024-06-15 16:58:23.311,2024-06-16 06:45:36.632,
9,UT0003,57,1,2024-06-15 16:58:23.311,2024-06-16 06:45:44.140,
10,UT0003,58,0,2024-06-15 16:58:23.313,2024-06-15 16:58:23.313,
11,UT0003,59,0,2024-06-15 16:58:23.313,2024-06-15 16:58:23.313,
12,UT0004,52,0,2024-06-16 01:45:43.923,2024-06-16 01:45:43.923,
13,UT0004,53,0,2024-06-16 01:45:43.924,2024-06-16 01:45:43.924,
14,UT0005,103,1,2024-06-18 13:42:58.949,2024-06-18 13:45:33.547,
15,UT0005,104,1,2024-06-18 13:42:58.950,2024-06-18 13:45:54.166,
16,UT0006,105,1,2024-06-18 14:24:57.310,2024-06-18 14:28:56.757,
17,UT0006,106,1,2024-06-18 14:24:57.310,2024-06-18 14:33:36.144,
18,UT0006,107,1,2024-06-18 14:24:57.312,2024-06-18 14:33:49.830,
19,UT0007,99,0,2024-06-18 15:35:56.341,2024-06-18 15:35:56.341,
20,UT0007,100,0,2024-06-18 15:35:56.342,2024-06-18 15:35:56.342,
21,UT0007,101,0,2024-06-18 15:35:56.342,2024-06-18 15:35:56.342,
22,UT0007,102,0,2024-06-18 15:35:56.344,2024-06-18 15:35:56.344,
23,UT0008,95,0,2024-06-18 15:48:04.782,2024-06-18 15:48:04.782,
24,UT0008,96,0,2024-06-18 15:48:04.783,2024-06-18 15:48:04.783,
25,UT0008,97,0,2024-06-18 15:48:04.784,2024-06-18 15:48:04.784,
26,UT0008,98,0,2024-06-18 15:48:04.786,2024-06-18 15:48:04.786,
27,UT0009,105,1,2024-06-18 16:44:24.286,2024-06-19 03:43:40.640,
28,UT0009,106,1,2024-06-18 16:44:24.286,2024-06-19 03:43:41.989,
29,UT0009,107,1,2024-06-18 16:44:24.287,2024-06-19 03:43:43.834,
30,UT0010,103,0,2024-06-18 16:51:20.524,2024-06-18 16:51:20.524,
31,UT0010,104,0,2024-06-18 16:51:20.524,2024-06-18 16:51:20.524,
32,UT0011,99,1,2024-06-18 16:55:39.738,2024-06-18 16:58:04.534,
33,UT0011,100,1,2024-06-18 16:55:39.739,2024-06-19 01:44:59.085,
34,UT0011,101,1,2024-06-18 16:55:39.739,2024-06-19 03:04:14.259,
35,UT0011,102,1,2024-06-18 16:55:39.742,2024-06-19 04:10:17.233,
36,UT0012,95,1,2024-06-19 04:13:18.075,2024-06-19 04:13:21.314,
37,UT0012,96,1,2024-06-19 04:13:18.075,2024-06-19 04:13:22.826,
38,UT0012,97,1,2024-06-19 04:13:18.076,2024-06-19 04:13:24.233,
39,UT0012,98,1,2024-06-19 04:13:18.077,2024-06-19 04:13:25.124,
40,UT0013,93,1,2024-06-19 04:48:41.099,2024-06-19 04:49:59.882,
41,UT0013,94,1,2024-06-19 04:48:41.100,2024-06-19 04:50:01.992,
42,UT0014,93,1,2024-06-19 04:51:20.678,2024-06-19 04:51:23.056,
43,UT0014,94,1,2024-06-19 04:51:20.679,2024-06-19 04:51:24.293,
44,UT0015,103,1,2024-06-19 04:53:42.260,2024-06-19 04:53:44.649,
45,UT0015,104,1,2024-06-19 04:53:42.261,2024-06-19 04:53:52.949,
46,UT0016,99,1,2024-06-19 04:59:25.064,2024-06-19 04:59:34.226,
47,UT0016,100,1,2024-06-19 04:59:25.064,2024-06-19 06:22:40.047,
48,UT0016,101,1,2024-06-19 04:59:25.065,2024-06-19 06:22:42.644,
49,UT0016,102,1,2024-06-19 04:59:25.066,2024-06-19 06:22:45.703,
50,UT0017,95,1,2024-06-19 06:38:10.894,2024-06-19 06:38:18.846,
51,UT0017,96,1,2024-06-19 06:38:10.895,2024-06-19 06:38:25.251,
52,UT0017,97,1,2024-06-19 06:38:10.895,2024-06-19 06:38:26.933,
53,UT0017,98,1,2024-06-19 06:38:10.896,2024-06-19 06:38:29.588,
54,UT0018,93,1,2024-06-19 06:43:01.951,2024-06-19 06:43:23.421,
55,UT0018,94,1,2024-06-19 06:43:01.952,2024-06-19 06:43:24.628,
56,UT0019,95,1,2024-06-19 07:24:53.563,2024-06-19 07:24:56.472,
57,UT0019,96,1,2024-06-19 07:24:53.564,2024-06-19 07:24:57.566,
58,UT0019,97,1,2024-06-19 07:24:53.565,2024-06-19 07:24:58.571,
59,UT0019,98,1,2024-06-19 07:24:53.566,2024-06-19 07:24:59.480,
60,UT0020,99,1,2024-06-19 11:48:38.626,2024-06-19 11:48:43.550,
61,UT0020,100,1,2024-06-19 11:48:38.627,2024-06-19 11:48:49.580,
62,UT0020,101,1,2024-06-19 11:48:38.628,2024-06-19 11:48:52.740,
63,UT0020,102,1,2024-06-19 11:48:38.628,2024-06-19 11:48:54.651,
64,UT0021,99,1,2024-06-19 12:02:07.477,2024-06-19 12:02:10.388,
65,UT0021,100,1,2024-06-19 12:02:07.477,2024-06-19 12:02:12.181,
66,UT0021,101,1,2024-06-19 12:02:07.478,2024-06-19 12:02:14.092,
67,UT0021,102,1,2024-06-19 12:02:07.478,2024-06-19 12:02:16.096,
68,UT0022,95,0,2024-06-19 12:55:01.313,2024-06-19 12:55:01.313,
69,UT0022,96,0,2024-06-19 12:55:01.314,2024-06-19 12:55:01.314,
70,UT0022,97,0,2024-06-19 12:55:01.314,2024-06-19 12:55:01.314,
71,UT0022,98,0,2024-06-19 12:55:01.315,2024-06-19 12:55:01.315,
72,UT0023,93,1,2024-06-19 13:04:01.260,2024-06-19 13:04:04.156,
73,UT0023,94,1,2024-06-19 13:04:01.261,2024-06-19 13:04:05.497,
74,UT0024,103,0,2024-06-19 14:21:10.674,2024-06-19 14:21:10.674,
75,UT0024,104,0,2024-06-19 14:21:10.675,2024-06-19 14:21:10.675,
76,UT0025,115,1,2024-06-19 14:56:01.456,2024-06-19 14:56:11.521,
77,UT0025,116,1,2024-06-19 14:56:01.456,2024-06-19 14:56:16.177,
78,UT0025,117,1,2024-06-19 14:56:01.457,2024-06-19 14:56:17.880,
79,UT0026,120,0,2024-06-19 16:25:01.749,2024-06-19 16:25:01.749,
80,UT0026,121,0,2024-06-19 16:25:01.750,2024-06-19 16:25:01.750,
81,UT0027,103,0,2024-06-19 16:26:59.323,2024-06-19 16:26:59.323,
82,UT0027,104,0,2024-06-19 16:26:59.324,2024-06-19 16:26:59.324,
83,UT0028,99,0,2024-06-19 16:28:23.918,2024-06-19 16:28:23.918,
84,UT0028,100,0,2024-06-19 16:28:23.919,2024-06-19 16:28:23.919,
85,UT0028,101,0,2024-06-19 16:28:23.920,2024-06-19 16:28:23.920,
86,UT0028,102,0,2024-06-19 16:28:23.920,2024-06-19 16:28:23.920,
87,UT0029,95,0,2024-06-19 16:29:47.868,2024-06-19 16:29:47.868,
88,UT0029,96,0,2024-06-19 16:29:47.869,2024-06-19 16:29:47.869,
89,UT0029,97,0,2024-06-19 16:29:47.870,2024-06-19 16:29:47.870,
90,UT0029,98,0,2024-06-19 16:29:47.871,2024-06-19 16:29:47.871,
91,UT0030,127,1,2024-06-19 16:37:39.555,2024-06-19 16:39:08.718,
92,UT0030,128,1,2024-06-19 16:37:39.556,2024-06-19 16:39:15.215,
93,UT0030,129,1,2024-06-19 16:37:39.556,2024-06-19 16:39:25.001,
94,UT0031,127,1,2024-06-19 16:49:48.255,2024-06-19 16:49:54.932,
95,UT0031,128,1,2024-06-19 16:49:48.256,2024-06-19 16:49:57.325,
96,UT0031,129,1,2024-06-19 16:49:48.257,2024-06-19 16:49:59.695,
97,UT0032,99,1,2024-06-20 00:09:26.781,2024-06-20 00:09:29.906,
98,UT0032,100,1,2024-06-20 00:09:26.781,2024-06-20 00:09:32.026,
99,UT0032,101,1,2024-06-20 00:09:26.782,2024-06-20 00:09:33.682,
100,UT0032,102,1,2024-06-20 00:09:26.782,2024-06-20 00:09:35.595,
101,UT0033,136,1,2024-06-20 00:29:33.353,2024-06-20 00:29:37.059,
102,UT0033,137,1,2024-06-20 00:29:33.353,2024-06-20 00:29:39.756,
103,UT0033,138,1,2024-06-20 00:29:33.354,2024-06-20 00:29:41.479,
104,UT0033,139,1,2024-06-20 00:29:33.355,2024-06-20 00:29:44.626,
105,UT0034,150,0,2024-06-20 11:22:40.219,2024-06-20 11:22:40.219,
