id,type,created_at,updated_at,deleted_at
MTR01,plastik,2024-06-15 13:03:33.543,2024-06-15 13:03:33.543,
MTR02,kaca,2024-06-15 13:03:33.548,2024-06-15 13:03:33.548,
MTR03,kayu,2024-06-15 13:03:33.553,2024-06-15 13:03:33.553,
MTR04,kertas,2024-06-15 13:03:33.558,2024-06-15 13:03:33.558,
MTR05,baterai,2024-06-15 13:03:33.562,2024-06-15 13:03:33.562,
MTR06,besi,2024-06-15 13:03:33.566,2024-06-15 13:03:33.566,
MTR07,limbah berbahaya,2024-06-15 13:03:33.570,2024-06-15 13:03:33.570,
MTR08,limbah beracun,2024-06-15 13:03:33.574,2024-06-15 13:03:33.574,
MTR09,sisa makanan,2024-06-15 13:03:33.578,2024-06-15 13:03:33.578,
MTR10,tak terdeteksi,2024-06-15 13:03:33.582,2024-06-15 13:03:33.582,
